Entity Name,Alternative Name,Type,Tag
Kizil ,,River,Location
Kneeling oxen,,,No
Kobad,,the Sassanian,No
Kobdo,,,No
Koh–Banán,Cobinan,,Location
Koja,Coja,a Tartar envoy from Persia,Person
Kokcha ,,River,Person
Kokcha ,,"/Kok–Tash/, greenstone of Samarkand",No
Kolastri,,or Kolatiri Rajas,No
Ko-li-ki-sze,,,No
Kolkhoi of Ptolemy,,identified,No
Kollam,,/see/ Coilum,Location
Koloman,,/see/ Coloman,Location
Kolyma,,bird-hunting at,No
Kolyma,,[Greek: Kómakon],No
Komár,,,No
Komár,,[Greek: Komária ákron],No
Konár tree,,Marco Polo’s apples of Paradise,No
Kondachi,,,No
Konkan,,Konkan–Tana,Location
Konkan,,"/Korano/, epithet on Indo–Scythic coins",Location
Konkan,,"/Korea, History of/",Location
Koresh king,,,Person
Koresh king,,"/Kornish/, or K’o-tow (Khén-théu)",Person
Kosakio,,a general against Japan,Person
Kosseir,,,No
Kotcheres,,Kurds of Mosul,No
Kotlogh,,"or Kutlugh, Sultan of Kerman",Person
Kotlogh Shah,,the Chaghataian prince,Person
Kotrobah ,,Island,Location
Kouyunjik,,sculptures at,No
Kozlov,,"Lieutenant K.P., on the Lob-nor",Person
Kuang-chou,,,Location
Kúbenán,Cobinan,a Kuh-banán “Hill of the Terebinths or Wild Pistachios”,No
Kúblái,Cublay,"Káán, the Great Khán",Person
Kúblái,,his envoys meet the two elder Polos,Person
Kúblái,,receives and questions the Polos,Person
Kúblái,,sends them as envoys to the Pope,Person
Kúblái,,"his desire for Christian teachers, and for oil from the lamp in the",Person
Kúblái,,Holy Sepulchre,Person
Kúblái,,gives them a Golden Tablet,Person
Kúblái,,his reception of the three Polos,Person
Kúblái,,sends Marco on an embassy,Person
Kúblái,,Marco grows in favour,Person
Kúblái,,allows the Polos to depart with Tablets of Authority,Person
Kúblái,,rumour of his death,Person
Kúblái,,sends a napkin of asbestos to the Pope,Person
Kúblái,,his greatness and power,Person
Kúblái,,his milk libations,Person
Kúblái,,his inscription at Shangtu,Person
Kúblái,,Chinghiz’s prophecy,Person
Kúblái,,"his lineage, age, and accession",Person
Kúblái,,Nayan’s revolt,Person
Kúblái,,Nayan’s defeat and death,Person
Kúblái,,rebukes anti-Christian gibes,Person
Kúblái,,returns to Cambaluc,Person
Kúblái,,treats four religions with equal respect,Person
Kúblái,,his views on Christianity,Person
Kúblái,,how he rewards his captains,Person
Kúblái,,his personal appearance,Person
Kúblái,,his wives and ladies-inwaiting,Person
Kúblái,,his palace at Cambaluc,Person
Kúblái,,builds Cambaluc city,Person
Kúblái,,his bodyguard,Person
Kúblái,,order of his feasts,Person
Kúblái,,celebration of his birthday,Person
Kúblái,,his distribution of robes,Person
Kúblái,,his New Year’s feast,Person
Kúblái,,his elephants,Person
Kúblái,,the /K’o-tow/,Person
Kúblái,,adopts Chinese ancestor-worship,Person
Kúblái,,his game laws,Person
Kúblái,,his hunting establishment,Person
Kúblái,,his masters of hounds,Person
Kúblái,,how he goes a-hunting,Person
Kúblái,,how his year is spent,Person
Kúblái,,"Ahmad’s influence, oppression, and death",Person
Kúblái,,his treatment of Mahomedans,Person
Kúblái,,his mint and paper-money,Person
Kúblái,,his purchase of valuables,Person
Kúblái,,his twelve great Barons,Person
Kúblái,,his posts and runners,Person
Kúblái,,remission of taxes,Person
Kúblái,,his justice,Person
Kúblái,,a tree planter,Person
Kúblái,,his store of corn,Person
Kúblái,,charity to the poor,Person
Kúblái,,his astrologers,Person
Kúblái,,"gaol deliveries, and prohibition of gambling",Person
Kúblái,,his early campaign in Yun-nan,Person
Kúblái,,and the king of Mien and Bangala,Person
Kúblái,,Litan’s plot,Person
Kúblái,,sends Bayan to invade Manzi,Person
Kúblái,,his dealings with Bayan,Person
Kúblái,,satisfied with the Polo’s mangonels,Person
Kúblái,,appoints Mar Sarghis governor of Chinghian-fu,Person
Kúblái,,the city of Kinsay,Person
Kúblái,,his revenue from Kinsay,Person
Kúblái,,from Zayton,Person
Kúblái,,his expedition against Chipangu (Japan),Person
Kúblái,,sends force against Chamba,Person
Kúblái,,attempts to gain Java,Person
Kúblái,,his death,Person
Kúblái,,sends to buy Ceylon ruby,Person
Kúblái,,sends for religions of Sakya,Person
Kúblái,,testifies to miraculous powers of Sakya’s dish,Person
Kúblái,,intercourse with Ma’bar,Person
Kúblái,,with Kaulam,Person
Kúblái,,missions to Madagascar,Person
Kúblái,,Kaidu’s wars with him,Person
Kúblái,,"—— Khan, territories and people subject to (Turkistan)",Person
Kúblái,,(Tangut and Mongolia),Person
Kúblái,,(Tibetan frontier and Yun-nan),Person
Kúblái,,(Western China),Person
Kúblái,,(N. Eastern China),Person
Kúblái,,(Manzi),Person
Kúblái,,(Sinju),Person
Kúblái,,(Caiju),Person
Kúblái,,Chinghian-fu,Person
Kúblái,,(Chinginju),Person
Kúblái,,(Suju),Person
Kúblái,,(Tanpigu),Person
Kúblái,,(Chonka),Person
Kúblái,,(Zayton),Person
Kúblái,,(Chamba),Person
Kúblái,,(Sumatra),Person
Kuché character,,,No
Kuché character,,"/Kudatku Bilik/, an Uíghúr poem",No
Kuhistan,,or Hill country of Persia,Location
Kúkachin,,/see/ Cocachin,Location
Kukin-Tána,,,No
Kukju,Genkju,Kúblái’s son,Person
Kuku–Khotan,Blue Town,depôt for Mongolian trade with China,Location
Ku-kwan,,Customs’ Barrier,No
Kuláb,,lions in,No
Kuláb,,Salt Mines,No
Kulán,,"/Asinus Onager/, the Gor Khar of Persia",Person
Kulasaikera,,,No
Kumár,,/see/ Komár,No
Kumhari,,"Kumari, /see/ Comari",No
Kumiz,,"kimiz (kemiz), Mare’s milk, Tartar beverage",No
Kumiz,,sprinkling of,No
Kummájar,,,No
Kúnbúrn Monastery,,,No
Kunduz,,,No
Kunduz,,/Kunduz/ (beaver or sable),No
Kunduz–Baghlán,,,No
Kung-ki-cheng,Fei-ch’eng,,No
Kunguráts,,"Kunkuráts (Ungrat), a Mongol tribe",Location
Kunguráts,,"/Kunichi/ (Cunichi, or Chinuchi), “The Keepers of the Mastiff Dogs”",Location
Kuniyah ,Conia,"Iconium, Koniah",No
Kunlun,,,No
Kurd dynasty,,,No
Kurdistan,Curdistan,,Location
Kurds,,the,No
Kúreh-i-Ardeshír,Kuwáshír,,No
Kuria Maria Islands,,,No
Kuridai,,Kúblái’s son,Person
Kuridai,,"/Kúrkah/, great drum",Person
Kurmishi,,,No
Kurshids of Lùristán,,,No
Kurshids of Lùristán,,/Kurut/ (Curd),No
Kus,,Cos (in Egypt),No
Kushluk,,the Naiman,No
Kutan,,son of Okkodai,Person
Kutchluk Khan,Buddhist,Chief of the Naïmans,Person
Kutuktemur,,Kúblái’s son,Person
Kutulun,,Princess,Person
Kuwinji,,/see/ Kaunchi,No
Kuyuk Khan,,,No
Kwa-chau,Caiju,at mouth of Great Canabon Yang-tse-Kiang,No
Kwan Hsien,,,No
Kwansinfu,,,No
Kwawa,,"i.e. Java, etymology",No
Kwei-chau,Cuiju,,No
Kwei-hwa-ch’eng,,or Kuku Khotan,No
Kweilei ,,River,Location
Kyung-sang ,,province,Location
Kyung-sang ,,province,Location
Lac,Wallachia,Lacz,Location
Ladies’ dresses in Badakhshan,,,No
Ladies of Kinsay,,,No
Lagong,,,No
Lahore,Dalivar,Dilivar,Location
Lahsa,,,No
Lájwurd mines,,,No
Lake,,Caindu,No
Lake,,—— Fanchau,No
Lake,,—— Kinsay,No
Lake,,—— of Palace at Cambaluc,No
Lake,,—— Pleasure parties on,No
Lake,,—— Talifu,No
Lake,,—— Yunnan-fu,No
Laknaoti,,,No
Lakshamana Deva,,king of Kashmír,Person
Lamas of Tibetan Buddhism,,,No
Lamas of Tibetan Buddhism,,their superstitions and rites,No
Lamas of Tibetan Buddhism,,their monasteries,No
Lamas of Tibetan Buddhism,,marriage. (/See/ also Bakhshi.),No
Lambri,,,Location
Lambri,,kingdom of,Location
Lambri,,situation of,Location
Lances of Sago Palm,,,No
Lanchang,,,Location
Land of Darkness,,,No
Land of Darkness,,market in,No
Langdarma,,,No
Langting Balghasun,,,No
Languages used in Mongol Court and administration,,,No
Lan–Ho,,,No
Lanja Bálús,,or Lankha bálús,No
Lanka,Ceylon,,Location
Lan Ki Hien,Nan–Che-hien,,No
Lanner Falcons,,,No
Lan-tsang kiang,Mekong,River,Location
Lao–Kiun,,"or Lao–Tseu, the Philosopher",Person
Laos,,people of,Location
Lar,,or Lát-Desa,Location
Lar,,—— province,No
Latin version of Polo’s Book,,,No
Latins,,the term,No
Latsé,,Tibetan for musk,No
Lauredano,,Agnes,No
Lauredano,,/Laurus Camphora/,No
Lawek,,/Lawáki/,No
Laxities of marriage customs,,/see/ Marriage,No
Layard,,Mr,Person
Layas,,/see/ Ayas,Location
Layas,,—— Gulf of,Location
Leather,,,No
Leather,,embroidered mats of Guzerat,No
Leaves,,,No
Leaves,,used for plates,No
Leaves,,green leaves said to have a soul,No
Lecomte on Chinese war vessels,,,No
Lembeser,,Ismaelite fortress,No
Lenzin,,,No
Leon I,,king of Lesser Armenia,Person
Leon II,,king of Lesser Armenia,Person
Leon III,,king of Lesser Armenia,Person
Leon VI,,last king of Lesser Armenia,Person
Leopards,,,No
Leopards,,taught to sit on horseback,No
Leopards,,(Cheetas) kept for the Chase by Kúblái,No
Lepechin,,Professor,Person
Le Strange,,Guy,No
Leung Shan,,,Person
Levant,,term applied by Polo to the kingdom of the Mongol Khans,No
Lewchew,,,No
Lewis,,/see/ St. Lewis,No
Lewis XI. and XII,,,Person
Lew-sha,,old Chinese name for Lop Desert,No
Leyes,,/see/ Ayas,Location
Lhása,,,Location
Lhása,,/Labrang/ Monastery at,Location
Lhása,,"/Li/, Chinese measure",Location
Lhása,,supposed to be confounded with miles,Location
Liampo,Ningpo,,No
Liang,,or tael,No
Liang-chau in Kansuh,,,No
Liao dynasty,,,No
Liao-tong,,,No
Libanos,,[Greek: Libanophóros] and [Greek: libanotophóros chóra],No
Libanos,,/Libro d’Oro/,No
Licinius,,Emperor,Person
Licinius,,,Person
Lidé,Liti,,No
Lieuli Ho,,,No
Lign-aloes ,,,No
Lign-aloes ,,etymology,No
Lign-aloes ,,in Sumatra,No
Ligor,,,No
Ligor,,"/Ligurium/, the precious stone, /Liguire/",No
Li H’ien,,Tartar ruler of Tangut,Person
Li H’ien,,/Likamankwas/ of Abyssinian kings,Person
Li-kiang fu,,,No
Li-kiang fu,,/Limyrica/,No
Lindley,,,No
Lindsay,,Hon. R,No
Lindsay,,/Linga/,No
Linju,,,No
Lin-ngan,Hang-chau,,No
Lin-ngan in Yun-nan,,,No
Lintching-y,,or Linchinghien,No
Lin-t’sing chau,,,No
Lion and Sun,,,No
Lions,,black,No
Lions,,—— on the Oxus,No
Lions,,Chinese notion of,No
Lions,,—— (apparently for tigers) kept for the chase by Kúblái,No
Lions,,skins of striped,No
Lions,,how hunted with dogs (/See/ also Tigers.),No
Lion’s Head Tablets,,,No
Lion’s Head Tablets,,"/Lire/, various Venetian",No
Lion’s Head Tablets,,—— of gold,No
Lisbon,,,No
Lissu,,or Lisau tribe,Location
Litai,,,Location
Litán,,rebellion of,No
Lithang,,,No
Little Orphan Rock,,,No
Liu Pang,,founder of 1st Han dynasty,Person
Liu Pei,Luo Pé,of the Han dynasty,No
Liu Pei,,/Livre des Merveille/,No
Livres of gold,,,No
Livres of gold,,—— Parisis,No
Livres of gold,,—— Tournois,No
Li Yuan-hao,,"founder of the Hsi Hsia dynasty, Tangut",Person
Lo,,tribes of S.W. China so-called,No
Lo,,—— Chinese name of part of Siam,No
Lob,,/see/ Lop,No
Locac,,kingdom of,Location
Lockhart,,Dr. W,No
Lockhart,,/Lokok/,No
Lolo tribes,,,No
Longevity of Brahmins and Jogis,,,No
Longfellow,,,No
Lop,,city and lake,Location
Lop,,desert,Location
Lophaburi,,,No
Loping,,,No
Lor,,/see/ Lúristan,Location
Lord,,Dr. Percival,No
Löss,,brownish-yellow loam,No
Loups cerviers ,,,No
Low castes,,,No
Lowatong ,,River,Location
Loyang,,Bridge of,Location
Lubán,,,No
Lubán-Jáwi,,,No
Lubán-Shehri,,,No
Lubbies,,,No
Lucky and unlucky hours and days,,,No
Luddur Deo,,,No
Luh-ho-ta Pagoda,,Hang-chau,No
Lukon–Kiao,Hun-ho,Pulisanghin River,Location
Lukyn ,,Port,Location
Lung-yin,,,No
Lúristan,Lor,Lur,Location
Lúristan,,kingdom of Persia,Location
Lúristan,,Great and Little,Location
Lúristan,,character of Lurs or people of,Location
Lusignan,,John de,No
Lút,,Desert of (Dasht-i-Lut),Location
Lu-tzu ,,tribe,Location
Lynxes,,trained to hunt,No
Lynxes,,in Cuncun,No
Lynxes,,,No
Ma Twan-lin,,the Chinese Pliny,No
Maaden,,turquoise mines at,No
Maatum,,or Nubia,No
Ma’bar,Maabar,i.e. Coromandel coast),Location
Ma’bar,,province of India,Location
Ma’bar,,its brother kings,Location
Ma’bar,,pearl fishery,Location
Ma’bar,,etymology,Location
Ma’bar,,limits,Location
Ma’bar,,obscurity of history,Location
Ma’bar,,port visited by Polo,Location
Ma’bar,,"nakedness of people, king, his jewels",Location
Ma’bar,,"his wives, “Trusty Lieges,” treasure",Location
Ma’bar,,horses imported,Location
Ma’bar,,superstitious customs,Location
Ma’bar,,ox-worship,Location
Ma’bar,,"Govis, Ib.",Location
Ma’bar,,no horses bred,Location
Ma’bar,,other customs,Location
Ma’bar,,mode of arrest for debt,Location
Ma’bar,,great heat,Location
Ma’bar,,regard for omens,Location
Ma’bar,,"astrology, treatment of boys",Location
Ma’bar,,"birds, girls consecrated to idols",Location
Ma’bar,,customs in sleeping,Location
Ma’bar,,ships at Madagascar,Location
Macartney’s Map,,,No
Macgregor,,"Sir C, “Journey through Khorasan”",Person
Máchin,,city of (Canton),Location
Máchin,,Maháchin (Great China),Location
Máchin,,used by Persian writers as synonymous with Manzi,Location
Maclagan,,Major–General (R.E.),Person
Madagascar,Madeigascar,,Location
Madagascar,,confused with Magadoxo,Location
Madagascar,,etymology,Location
Madagascar,,traces of ancient Arab colonisation,Location
Mádái,,"Madavi, Maudoy",No
Madjgars,,,No
Madar–Des,,Eastern Pánjáb,Location
Madras,,,Location
Madura,,,Location
Maestro,,"or Great Bear, said to be invisible in Sumatra",No
Magadha,,,Location
Magadoxo,,confused with Madagascar,Location
Magapatana,,near Ceylon,Location
Magi,,the three,No
Magi,,legend as told by Mas’udi,No
Magi,,source of fancies about,No
Magi,,names assigned to,No
Magic,,of Udyana,No
Magic,,"Lamaitic, (/See/ also Sorcerers.)",No
Magical darkness ,,,No
Magnet,,Mount,No
Magyars,,,No
Mahar Amlàk,,king of Abyssinia,Person
Mahavan,,,No
Mahmúd Kalháti,,prince of Hormuz,Person
Mahmúd of Ghazni,,,Person
Mahmudiah Canal,,,Location
Mahomed,Mahommet,,Person
Mahomed,,his account of Gog and Magog,Person
Mahomed,,his Paradise,Person
Mahomed,,his alleged prophecy of the Mongols,Person
Mahomed,,his use of mangonels,Person
Mahomed,,supposed worship of idols of,Person
Mahomed,,"—— II., uses the old engines of war",Person
Mahomed,,—— Tarahi,Person
Mahomed,,"—— Tughlak of Delhi, his copper token currency",Person
Mahomed,,—— Shah of Malacca,Person
Mahomedan revolts in China,,,No
Mahomedan revolts in China,,—— conversion of Malacca,No
Mahomedan revolts in China,,—— conversion of states in Sumatra,No
Mahomedan revolts in China,,—— butchers in Kashmir,No
Mahomedan revolts in China,,—— butchers in Maabar,No
Mahomedan revolts in China,,—— king of Kayal,Person
Mahomedan revolts in China,,—— merchants at Kayal,No
Mahomedan revolts in China,,—— settlements on Abyssinian coast,No
Mahomedans,Saracens,,No
Mahomedans,,in Turcomania,No
Mahomedans,,in and near Mausul,No
Mahomedans,,their universal hatred of Christians,No
Mahomedans,,in Tauris,No
Mahomedans,,in Persia,No
Mahomedans,,their hypocrisy about wine,No
Mahomedans,,at Yezd,No
Mahomedans,,Hormuz,No
Mahomedans,,Cobinan,No
Mahomedans,,Tonocain,No
Mahomedans,,Sapurgan,No
Mahomedans,,Taican,No
Mahomedans,,Badakhshan,No
Mahomedans,,"Wakhan, etc.",No
Mahomedans,,Kashgar,No
Mahomedans,,strife with Christians in Samarkand,No
Mahomedans,,Yarkand,No
Mahomedans,,Khotan,No
Mahomedans,,Pein,No
Mahomedans,,Charchan,No
Mahomedans,,Lop,No
Mahomedans,,Tangut,No
Mahomedans,,Chingintalas,No
Mahomedans,,Kanchau,No
Mahomedans,,Sinju,No
Mahomedans,,Egrigaia,No
Mahomedans,,"Tenduc, their half-breed progeny",No
Mahomedans,,"in northern frontier of China, alleged origin of",No
Mahomedans,,their gibes at Christians,No
Mahomedans,,Kúblái’s dislike of,No
Mahomedans,,in Yun-nan,No
Mahomedans,,in Champa,No
Mahomedans,,in Sumatra,No
Mahomedans,,troops in Ceylon,No
Mahomedans,,pilgrims to Adam’s Peak,No
Mahomedans,,honour St. Thomas,No
Mahomedans,,in Kesmacoran,No
Mahomedans,,in Madagascar,No
Mahomedans,,in Abyssinia,No
Mahomedans,,in Aden,No
Mahomedans,,outrage by,No
Mahomedans,,at Esher,No
Mahomedans,,Dufar,No
Mahomedans,,Calatu,No
Mahomedans,,Hormuz,No
Mahomedans,,Ahmad Sultan one,No
Mailapúr,,,Location
Maiman,,,No
Maiman,,"/Maistrè/, the word",No
Maitreya Buddha,,,No
Majapahit,,empire of (Java),Location
Majar,Menjar,,No
Major,,"R.H., on Australia",No
Makdashan,,/see/ Magadoxo,Location
Malabar,,"Melibar, Malibar, Manibar",Location
Malabar,,fleets,Location
Malabar,,products,Location
Malabar,,"imports, Chinese ships in",Location
Malacca,,,No
Malacca,,foundation of,No
Malacca,,chronology,No
Malacca,,Straits of,No
Malaiur,,island and city,Location
Mal–Amir,,or Aidhej,No
Malasgird,,,No
Malay Peninsula,,,Location
Malay Peninsula,,invasion of Ceylon,Location
Malay Peninsula,,chronicle,Location
Malay Peninsula,,language,Location
Malay Peninsula,,origin of many geographical names,Location
Malayo,,or Tana Malayu,No
Malcolm,,Sir John,Person
Maldive ,,Islands,Location
Malé in Burma,,,No
Male and Female ,,Islands,Location
Male and Female ,,legend widely diffused,Location
Malifattan,,,No
Malik al Dháhir,,king of Samudra,Person
Malik al Dháhir,,—— al Mansúr,Person
Malik al Dháhir,,"—— al Sálih, king of Samudra",Person
Malik al Dháhir,,—— Kafur,Person
Malli,,the,No
Malpiero,,Gasparo,No
Malte–Brun,,,No
Malwa,,,No
Mamaseni,,,No
Mamre,,tree of,No
Mán,,barbarians,No
Man,,Col. Henry,No
Manchu dynasty,,,No
Mancopa,,,No
Mandalé in Burma,,,No
Mandarin language,,,No
Mangalai,,third son of Kúblái,Person
Mangalai,,his palace,Person
Mangalore,,,Person
Mangla and Nebila ,,Islands,Location
Mangonels made by Polos for attack of Saianfu,,,No
Mangonels made by Polos for attack of Saianfu,,etymology,No
Mangonels made by Polos for attack of Saianfu,,account of,No
Mangonels made by Polos for attack of Saianfu,,a barbarous lubricant for,No
Mangu,Mangkú,Mongu) Khan,Person
Mangu,,Kúblái’s elder brother,Person
Mangu,,his death,Person
Mangu,,reign,Person
Mangu,,massacre at his funeral,Person
Mangu–Temur ,Mungultemur,,Person
Manjáník,Manjaniki,,Person
Manjáník,,—— Kumghá,Person
Manjáník,,,Person
Manji,,/see/ Manzi,Location
Manjushri,,Bodhisatva,Location
Manphul,,Pandit,No
Mansur Shah,,,Person
Mantzé,,"Man-tzu, Mantszi, Aborigines",No
Manuel,,"Comnenus, Emperor",Person
Manufactures,,Kúblái’s,No
Manuscripts of Polo’s Book,,,No
Manzi,Facfur,king of,Location
Manzi,,his flight,Location
Manzi,,his charity,Location
Manzi,,his effeminacy,Location
Manzi,,his death,Location
Manzi,,his palace at Kinsay,Location
Manzi,,(/See/ Faghfur.,Location
Manzi,,—— (Mangi) province,Location
Manzi,,White City of the Frontier,Location
Manzi,,entrance to,Location
Manzi,,conquest of,Location
Manzi,,character of the people,Location
Manzi,,"its nine kingdoms, 1200 cities and squares",Location
Manzi,,its bamboos,Location
Manzi,,no sheep in,Location
Manzi,,dialects,Location
Manzi,,called Chin,Location
Manzi,,ships and merchants in India,Location
Manzi,,—— queen of,Location
Manzi,,surrenders,Location
Manzi,,her report of Kinsay,Location
Map,,constructed on Polo’s data,No
Map,,Hereford,No
Map,,Roger Bacon’s,No
Map,,Marino Sanudo’s,No
Map,,Medicean,No
Map,,Catalan,No
Map,,Fra Mauro’s,No
Map,,Ruysch’s,No
Map,,Mercator’s,No
Map,,Sanson’s,No
Mapillas,,or Moplahs,No
Maps,,"allusions to, in Polo’s book",No
Maps,,early mediaeval,No
Maps,,of the Arabs,No
Maps,,in the palace at Venice,No
Marabia,,"Maravia, Maravi",Location
Marah Silu,,,No
Mâramangalam,,site of Kolkhoi,Location
Marash,,,No
Maratha,,,No
Mardin,Merdin,,No
Mare’s milk,,/see/ Kumiz,No
Margaritone,,,No
Marignolli,,John,Person
Market days,,,No
Markets in Kinsay,,,No
Markets in Kinsay,,—— Squares in Kinsay,No
Marks of Silver,,,No
Marriage customs in Khotan,,,No
Marriage customs in Khotan,,—— customs in Kanchau,No
Marriage customs in Khotan,,—— customs of the Tartars,No
Marriage customs in Khotan,,—— (posthumous) amongst Tartars,No
Marriage customs in Khotan,,—— laxities of different peoples,No
Marriage customs in Khotan,,—— laxities in Thibet,No
Mar Sarghis,,,No
Marsden’s edition of Polo,,,No
Martin,,"Dr. Ernest, of French Legation at Pekin",Person
Martini,,,Person
Martini,,his /Atlas Sinensis/,Person
Martini,,his account of Kinsay,Person
Martyrs,,Franciscan,No
Martyrs,,/Masálak-al-Absár/,No
Mashhad,Meshed,or Varsach River,Location
Mashiz,,,No
Maskat,,,No
Mastiff Dogs,,Keepers of the,No
Mastiffs of Tibet,,/see/ Dogs,No
Mastodon,,bogged,No
Mas’ud II,,Ghiath ed-din-Seljuk dynasty,No
Mas’udi,,,No
Masulipatam,,,Location
Matchlocks,,manufacture at Kerman,No
Matchlocks,,at Taianfu,No
Ma-t’eu,Matu,,No
Mati Dhivaja,,/see/ Bashpah Lama,No
Matitánana,,,No
Matityna,Martinique,,No
Mätzner,,Eduard,No
Maundevile,,Sir John (John a Beard),No
Maundevile,,on lying in water,No
Maundevile,,Cloths of Tartary,No
Maundevile,,Trees of the Sun,No
Maundevile,,Dry Tree,No
Maundevile,,his Book of Travels,No
Maundevile,,English version,No
Maundevile,,his tomb,No
Maung Maorong,,"or Pong, Shan kingdom",Location
Mauro,,"Fra, his map",Location
Mausul,Mosul,kingdom of,Location
Mausul ,,"/Mauvenu/ (Malvennez), the phrase",Location
Mayers,,W.F,No
Mayhew,,"A.L., on /Couvade/",No
Mazandéran,,province,Location
Mazandéran,,"/Mecchino/, Ginger",Location
Medressehs at Sivas,,,No
Mekhitar,,,No
Mekong ,Lan-tsang kiang,River ,Location
Mekrán,,often reckoned part of India,No
Mekránis,,,No
Melchior,,one of the Magi,No
Melibar,,/see/ Malabar,Location
Melic,,the title,No
Melons,,"dried, of Shibrgán",No
Menangkabau,,,No
Mendoza,,,No
Menezes,,Duarte,No
Mengki,,envoy to Java,Person
Menjar ,Májar,,No
Menuvair and Grosvair,,,No
Merghuz Boirúk Khan,,,Person
Merkit ,Mecrit,"Mescript), a Tartar tribe",No
Meshid,Mashhad,,No
Messengers,,Royal Mongol,No
Mexico,,,No
Meyer,,"Paul, /Alexandre le Grand/",Person
Miafarakain,,,No
Miau-tzu,,,No
Mien,,"Amien, Ava (Burma), king of",Location
Mien,,his battle with Tartars,Location
Mien,,City of,Location
Mien,,its gold and silver towers,Location
Mien,,how it was conquered,Location
Mien,,communications and war with Mongols,Location
Mien,,Chinese notices,Location
Mikado,,,No
Military engines of the Middle Ages,,,No
Military engines of the Middle Ages,,dissertation on,No
Military engines of the Middle Ages,,two classes,No
Military engines of the Middle Ages,,/Trébuchets/,No
Military engines of the Middle Ages,,Balista,No
Military engines of the Middle Ages,,"shot used, carrion, live men, bags of gold",No
Military engines of the Middle Ages,,/Mangonel/,No
Military engines of the Middle Ages,,Napoleon’s experiments with heavy shot,No
Military engines of the Middle Ages,,size and accuracy,No
Military engines of the Middle Ages,,length of range (Sanudo on),No
Military engines of the Middle Ages,,effect of Mangonel on Saracens,No
Military engines of the Middle Ages,,procured by Kúblái for siege of Siang-yang,No
Military engines of the Middle Ages,,Chinese and Persian histories on,No
Military engines of the Middle Ages,,known to Mongols and Chinese,No
Military engines of the Middle Ages,,"the /Karabugha/, or /Calabra/",No
Military engines of the Middle Ages,,the /P’ao/,No
Milk,,"portable, or curd",No
Milk,,rite of sprinkling Mare’s,No
Million,,use of the numeral,No
Millione,,"Millioni, nickname for Polo and his book",No
Millioni,,Corte del,No
Milne,,,No
Minao ,,district,Location
Mines and Minerals,,"/see/ Iron, Silver, etc",No
Minever,,/see/ Menuvair,No
Ming,,"the Chinese dynasty which ousted the Mongols, A.D. 1368",No
Ming,,their changes in Peking,No
Ming,,their paper-money,No
Ming,,their effeminate customs,No
Ming,,expeditions to India,No
Ming,,annals,No
Mingan,,Khan’s Master of Hounds,Person
Ming-ti,,Emperor,Person
Minján,,dialect of,No
Minotto,,Professor A.S,Person
Min ,,River ,Location
Min ,,—— River (in Szech’wan),Location
Mint,,the Khan’s,No
Mintsing-hien,,,No
Mious ,,River,Location
Miracle Stories,,,No
Miracle Stories,,fish in Lent,No
Miracle Stories,,Mountain moved,No
Miracle Stories,,St. Barsamo’s girdles,No
Miracle Stories,,Holy Fire,No
Miracle Stories,,Stone at Samarkand,No
Miracle Stories,,at St. Thomas’ Shrine,No
Miracle Stories,,,No
Mírat,,,No
Mírat,,/Mire/ French for leech,No
Mirkhond,,,No
Mirobolans,,,No
Mirobolans,,"/Miskál/, a weight. (/See/ also Saggio.)",No
Mirobolans,,"/Misri/, sugar-candy",No
Missionary Friars,,powers conferred on,No
Missionary Friars,,in China in 14th century,No
Missionary Friars,,—— Martyrs,No
Moa of New Zealand,,,No
Modhafferians,,the,No
Modun Khotan,,,Location
Moghistan,,,No
Mohammed,,"son of Yusuf Kelefi, founder of Shíráz",Person
Mohammerah,,,No
Mohiuddin,,,No
Mokli,,the Jelair,No
Molayu,,,No
Molebar,,/see/ Malabar,Location
Molephatan,,,No
Molière,,/Pastorale Comique/,No
Moluccas,,,No
Mombasa,,,Location
Momein,,,No
Monasteries of Idolaters (Buddhists),,,No
Money,,paper,No
Money,,—— values,No
Mongol conquests,,,No
Mongol conquests,,capture Soldaia,No
Mongol conquests,,Bolghar,No
Mongol conquests,,treachery and cruelty,No
Mongol conquests,,their inroads,No
Mongol conquests,,Bakh city,No
Mongol conquests,,invade Balakhshán,No
Mongol conquests,,invasion of Poland and Silesia,No
Mongon Khan,,/see/ Mangu,Person
Mongotay,Mangkutai,a Mongol officer,Person
Monkeys,,,No
Monkeys,,passed off as pygmies,No
Monks,,idolatrous. (/See/ Monasteries.),No
Monnier,,"Marcel, his visit to Karakorum",Person
Monnier,,on the Ch’êng-tu Suspension Bridge,Person
Monoceros and Maiden,,legend of,No
Monophysitism,,,No
Monsoons,,,No
Montecorvino,,"John, Archbishop of Cambaluc",No
Monte d’Ely,,,No
Montgomerie,,Major T.G. (R.E.) (Indian Survey),No
Montgomerie,,on fire at great altitudes,No
Montgomerie,,position of Kashgar and Yarkund,No
Monument at Si-ngan fu,,Christian,No
Moon,,Mountains of the,No
Moore,,/Light of the Harem/,No
Moplas,,/see/ Mapillas,No
Morgan,,E. Delmar,No
Mortagne,,siege of,No
Mortagne,,"/Morus alba/, silk-worm tree",No
Moscow,,Tartar Massacre at,Location
Mosolin,,"or Muslin (Mosolini), /Mo-sze/, Arab Mauçili",No
Mossos,,a tribe,Location
