Entity Name	Type
Gardner	Mr. C.
Garmsir	"Ghermseer (Cremesor), Hot Region"
Garnier	Lieut. Francis (journey to Talifu)
Garrisons	"Mongol, in Cathay and Manzi"
Garrisons	disliked by the people
Garrisons	Garuda
Gate of Iron	ascribed to Derbend
Gates	of Kaan's palace
Gates	of Cambaluc
Gates	of Somnath
Gat-pauls	"Gatopaul, Gatos-paulas"
Gat-pauls	Gatto maimone
Gauenispola Island	
Gauristan	
Gavraz villages	
Gazaria	
Gedrosi	
Gelath in Imeretia	Iron Gate at
Gelath in Imeretia	"Geliz, Spanish for silk dealer"
Genealogy of Polos	
Genealogy of Polos	"errors as given by Barbaro, etc., in"
Genealogy of Polos	tabular
Genealogy of Polos	of House of Chinghiz
Genoa	Polo’s captivity at
Genoa	"DASH and Pisa, rivalry, and wars of"
Genoa	"DASH and Venice, rivalry and wars of"
Genoese	their growth in skill and splendour
Genoese	character as seamen by poet of their own
Genoese	character by old Italian author
Genoese	capture of Soldaia
Genoese	their navigation of the Caspian
Genoese	trade in box-wood
Genoese	their merchants at Tabriz
Genoese	in Fo-kien
Gentile Plural names converted into local singulars	
Geographical Text of Polo’s Book constantly quoted	
Geographical Text of Polo’s Book constantly quoted	its language
Geographical Text of Polo’s Book constantly quoted	proofs that it is the original
Geographical Text of Polo’s Book constantly quoted	tautology
Geographical Text of Polo’s Book constantly quoted	source of other texts
"George (Jirjis Yurji, Gurg·n)"	king of Tenduc
"George (Jirjis Yurji, Gurg·n)"	of the time of Prester John
"George (Jirjis Yurji, Gurg·n)"	a possible descendant of
Georgia (Georgiana)	beauty of
Georgia (Georgiana)	and its inhabitants
Georgia (Georgiana)	their kings
Gerfalcons 	tablets engraved with
Gerini	Colonel
German Follower of the Polos	
Ghaissuddin Balban (Asedin Soldan)	Sultan of Delhi
Gh·ran country	ruby mines in
Ghazan (Casan) Khan of Persia	son of Arghún
Ghazan (Casan) Khan of Persia	his regard for the Polos
Ghazan (Casan) Khan of Persia	marries the Lady Kukachin
Ghazan (Casan) Khan of Persia	his mosque at Tabriz
Ghazan (Casan) Khan of Persia	set to watch the Khorasan frontier
Ghazan (Casan) Khan of Persia	obtains the throne
Ghazan (Casan) Khan of Persia	his object and accomplishments
Ghel	"or Ghelan (Ghel-u-chelan), Sea of, Caspian Sea"
GhellÈ (GÌlÌ)	silk of the Gíl province
Ghes	or Kenn (formerly Kish or Kais)
Ghes	Ghez tree
Ghiuju	
Ghiyas ed-din	last Prince of Kurd dynasty
Ghori	or Aksarai River
Ghori	"Gh˙ls, goblins"
Gh˙r	
Giglioli	Professor H
GÌl	"or GÌl·n, province"
Gilgit	
Gill	Captain (River of Golden Sand)
Ginao	Mt. and Hot Springs
Gindanes of Herodotus	
Ginger	
Ginger	Shan-si
Ginger	Caindu
Ginger	alleged to grow in Kiangnan
Ginger	Fuju
Ginger	Coilum
Ginger	different qualities and prices of
Ginger	Ely
Ginger	Malabar
Ginger	Guzerat
Giraffes	
Giraffes	mediaeval notices of
Girardo	Paul
Girdkuh	"an Ismailite fortress, its long defence"
Girls	consecrated to idols in India
Gittarchan	see Astrakhan
Glaza (Ayas)	
Gleemen and jugglers	conquer Mien
Goa	
Gobernador	Straits of
GoÎs	Benedict
Gog and Magog (Ung and Mungul)	
Gog and Magog (Ung and Mungul)	legend of
Gog and Magog (Ung and Mungul)	rampart of
Gog and Magog (Ung and Mungul)	country of
Gog and Magog (Ung and Mungul)	name suggested by Wall of China
Gogo	
Goître at Yarkand	
Golconda diamond mines	
Gold	"Frankincense, and Myrrh, their mystic meaning"
Gold dust in Tibet	
Gold dust in Tibet	exchanged for salt in Caindu
Gold dust in Tibet	Brius River
Gold dust in Tibet	in Kin-shia-Kiang
Gold dust in Tibet	and nuggets in Carajan
Gold dust in Tibet	abundant in Yun-nan
Gold dust in Tibet	Caugigu
Gold dust in Tibet	Coloman
Gold dust in Tibet	infinite in Chipangu
Gold dust in Tibet	in Sea of Chin Islands
Gold dust in Tibet	dust in Gulf of Cheinan Islands
Gold dust in Tibet	not found in Java
Gold dust in Tibet	in Locac
Gold dust in Tibet	the Malayo–Siamese territories
Gold dust in Tibet	Sumatra
Gold dust in Tibet	vast accumulations in South India
Gold dust in Tibet	imported into Malabar
Gold dust in Tibet	and into Cambay
Gold dust in Tibet	purchased in Socotra
Gold and silver towers of Mien	
Gold and silver towers of Mien	DASH cloths of. (See Silk and Gold.)
Gold and silver towers of Mien	DASH of the Gryphons in Herodotus
Gold and silver towers of Mien	"DASH Teeth (Zardandan), Western Yun-nan"
Gold and silver towers of Mien	"DASH to silver, relative value of"
Golden King and Prester John	tale of the
Golden King and Prester John	DASH Island
Golden King and Prester John	DASH Horde (kings of the Ponent)
Golden King and Prester John	"Golfo, Indigo di"
Gomispola	"Gomispoda, see Gauenispola"
Gomushtapah	Wall of
Gomuti palm	
Gondophares	a king in the St. Thomas legends
Gordon’s “Ever Victorious Army”	
Gordun Sháh	
Göring	F
Goriosan	
Goriosan	"Gor Khar, wild ass"
Goshawks	
Goshawks	black
Gothia (Crimean	
Gothia (Crimean	its limit and language
Govy	a low caste in Maabar
Goza	
Gozurat	see Guzerat
Grail	Buddhist parallel to the Holy
Granaries	Imperial
Grapes in Shan-si	
Grass-cloths	
Grasso	Donato
Great Bear (Meistre	
Great Bear (Meistre	"and Little, force of, and application of these epithets"
Great	or Greater Sea (Black Sea)
Greece	Bactria’s relation to
Greek fire	
Greeks	in Turcomania
Greeks	and Greek tongue in Socotra
Greeks	possible relic of
Green	Rev. D.D
Green	"DASH Island, legendary"
Green	DASH Islands
Green	"DASH Mount, Cambaluc"
Green	"DASH R., see Tsien Tang"
Gregorieff	his excavations at Sarai
Gregory X	"Pope, see Theobald of Piacenza"
Grenard	
Grioni	Zanino
Grioni	"Griut (kurut), sour-curd"
Groat	Venetian grosso
Groot	"Professor, J.J.M. de"
Grote	Arthur
Grueber and Dorville	Jesuit travellers
Grueber and Dorville	"Grus, cinerea, antigone, leucogeranus, monachus"
Gryphon	see Rue
Guasmul (Basmul	half-breeds
Guchluk	
Gudar (village)	
Gudar (village	"Gudderi, musk animals, Tibet"
Gudran	
Guebers	the
Gujáh	Húlákú‘s chief secretary
Gujáh	"Gugal, bdellum"
Guilds of craftsmen at Kinsay	
Guilds of craftsmen at Kinsay	DASH Venetian
Guinea-fowl	
Guions	a quasi-Tibetan tribe
Gumish–Khának	silver mines
Gunpowder	
Gurgan	a Tartar chief
Gurgan	"Gurgan, son-inlaw, a title"
Gur–Khan of Karacathay	
Gutturals	Mongol elision of
Gutturals	Guz=100
Guzerat (Gozurat	
Guzerat (Gozurat	"products, mediaeval architecture and dress"
Guzerat (Gozurat	work
Guzerat (Gozurat	
Haast	"Dr., discovers a fossil Rue"
Habíb-ullah of Khotan	
Habsh (Abash	see Abyssinia
Hadhramaut (Sessania Adrumetorum)	
Hadiah	
Haffer	
Hai-nan	Gulf of
Hai-nan	DASH language of
Hairy men in Sumatra	
Hajji Mahomed	
Hakeddin	
Half-breeds	see Argon
Hamd Allah Mastaufi	the geographer
Hamilton	Captain Alexander
Hammer–Purgstall on Marco Polo	
Hamúm Arabs	
Hamza of Ispahan	
Hamza Pantsúri	or Fantsúri
Hanbury	D
Han-chung (Cuncun)	
Hang-chau fu	see Kinsay
Han dynasty	
Han dynasty	DASH River
Hanjam	
Han-kau	
Hansi	
Han Yu	
Han Yu	Harám
Harhaura	W. Panjáb
Harlez	Mgr. de
Harlez	Hármozeia
Harlez	"Harpagornis, fossil Ruc"
Harran	
Harshadeva	king of Kashmir
Harsuddi	temple of
Haru	or Aru
Hashíshín	see Assassins
Hasik	
Hassán Kalá	hot springs at
Hassan	"son of Sabah, founder of the Ismailites"
Hastings	"Warren, letter of"
Hatan	rebellion of
Haunted deserts	
Havret	Father H
Havret	"Hawáríy (Avarian), the term"
Hawks	hawking in Georgia
Hawks	Yezd and Kerman
Hawks	Badakhshan
Hawks	Etzina
Hawks	among the Tartars
Hawks	on shores and islands of Northern Ocean
Hawks	Kúblái’s sport at Chagannor
Hawks	in mew at Chandu
Hawks	trained eagles
Hawks	Kúblái’s establishment of
Hawks	in Tibet
Hawks	Sumatra
Hawks	Maabar
Hayton I. (Hethum	king of Lesser Armenia
Hayton I. (Hethum	his autograph
Hazáras	"the, Mongol origin of"
Hazáras	lax custom ascribed to
Hazbana	king of Abyssinia
Heat	great at Hormuz
Heat	in India
Heaven	City of (Kinsay)
Hedin	Dr. Sven
Heibak	caves at
Height	effects on fire of great
Heikel	"Professor Axel, on Buddhist monasteries in the Orkhon"
Hei-shui (Mongol Etsina) River	
Hel	Ela (Cardamom)
Helena	Empress
Helli	see Eli
He-lung Kiang	
Hemp of Kwei-chau	
Henry II	Duke of Silesia
Henry III	
Heraclius	Emperor
Heraclius	said to have loosed the shut-up nations
Herat	
Hereditary trades	
Hereford	Map
Hermenia	see Armenia
Hermits of Kashmir	
Herodotus	
Hethum	see Hayton
Hiai — or Kiai-chau (Caichu?)	
Hides (See Leather.)	
Hili	"Hili–Marawi, see Ely"
Hill-people of Fo-kien	wild
Hinaur	see Hunáwar
Hind	
Hindu character	remarks on frequent eulogy of
Hindu character	DASH Kush
Hindus	their steel and iron
Hindus	DASH in Java
Hing-hwa	language of
Hippopotamus’ teeth	
Hips	admiration of large
Hirth	Dr. F
Hiuan–Tsung	Emperor
Hiuen Tsang	"Dr., a Buddhist monk"
Hochau	"in Sze-chwan, Mangku Khan’s death at"
Hochau	DASH in Kansuh
Hochung-fu (Cachanfu)	
Hodgson	Mr
Hoernle	Dr
Hojos	
Hokien-fu (Cacanfu)	
Hokow	or Hokeu
Holcombe	Rev. C.
Holcombe	on Hwai-lu
Holcombe	on Yellow River
Holcombe	on Pia-chau fu
Holcombe	on road from T’ung-kwan to Si-ngan fu
Hollingworth	H.G
Holy Sepulchre	
Holy Sepulchre	oil from lamp of
Homeritae	
Homi-cheu	or Ngo-ning
Homi-cheu	"Homme, its technical use"
Hondius map	
Ho-nhi	or Ngo-ning (Anin) tribe (See Homi-cheu.)
Hooker	"Sir Joseph, on bamboo explosion"
Horiad (Oirad	or Uirad) tribe
Hormuz (Hormos	Curmosa)
Hormuz (Hormos	trade with India
Hormuz (Hormos	a sickly place
Hormuz (Hormos	the people’s diet
Hormuz (Hormos	ships
Hormuz (Hormos	great heat and fatal wind
Hormuz (Hormos	"crops, mourning customs"
Hormuz (Hormos	the king of
Hormuz (Hormos	another road to Kerman from
Hormuz (Hormos	route from Kerman to
Hormuz (Hormos	site of the old city
Hormuz (Hormos	foundation of
Hormuz (Hormos	history of
Hormuz (Hormos	merchants
Hormuz (Hormos	horses exported to India from
Hormuz (Hormos	the Melik of
Hormuz (Hormos	"DASH Island, or Jerun"
Hormuz (Hormos	Organa of Arian
Hormuzdia	
Horns of Ovis Poli	
Horoscopes	in China
Horoscopes	in Maabar
Horse-posts and Post-houses	
Horses	Turkish
Horses	Persian
Horses	"of Badakhshan, strain of Bucephalus"
Horses	sacrificed at Kaans’ tombs
Horses	Tartar
Horses	and white mares
Horses	presented to Kaan on New Year’s Day
Horses	of Carajan
Horses	their tails docked
Horses	of Anin
Horses	tracking by
Horses	decorated with Yaks’ tails
Horses	now bred in S. India
Horses	DASH great trade and prices in importing to India from Persia
Horses	modes of shipment
Horses	from Carajan
Horses	from Anin
Horses	"from Kis, Hormuz, Dofar, Soer, and Aden"
Horses	Esher
Horses	Dofar
Horses	Calatu
Horses	DASH duty on
Horses	captured by pirates
Horses	their extraordinary treatment and diet in India
Horse-stealing	Tartar laws
Hosie	A.
Hosie	on Ch’êng-tu
Hosie	brine-wells of Pai-yen-ching
Hosie	on the Si-fan
Hosie	on Caindu Lake
Hospitals	Buddhist
Hostelries	at Cambaluc
Hostelries	on the Cathay post-roads
Hostelries	at Kinsay
Hot springs in Armenia	
Hot springs in Armenia	near Hormuz
Hounds	Masters of Kaan’s
Hours	struck from Cambaluc bell-tower
Hours	at Kinsay
Hours	unlucky
Hours	canonical
Hsi Hsia dynasty	
Hsi Hsia dynasty	"Hsiang-chên, Hsiang, wood"
Hu-chau fu (Vuju)	
Hui-hui	"white and black capped, two Mohammedan sects"
Hukaji (Hogáchi	"Cogachin), Kúblái’s son"
Hukwan-hien	
Húlakú Khan (Alau	"Alacan), Kúblái’s brother, and founder of Mongol"
Húlakú Khan (Alau	dynasty in Persia
Húlakú Khan (Alau	war with Barka Khan
Húlakú Khan (Alau	takes Baghdad and puts Khalif to death
Húlakú Khan (Alau	the Ismailites and the Old Man
Húlakú Khan (Alau	DASH his treachery
Húlakú Khan (Alau	his descendants
Húlakú Khan (Alau	battle with Barca
Húlakú Khan (Alau	his followers
Hullukluk	"village, near Sivas"
Human fat	used for combustion in war
Human fat	DASH sacrifices
Humáyún	Emperor
Humboldt	
Hunáwar (Onore	Hinaur)
Hundred Eyes	prophecy of the
Hundred Eyes	"Hundwáníy (ondanique), Indian steel"
Hungary	Hungarians
Hung Hao	Chinese author
Hun-ho (Sanghin River)	
Hunting equipment and Expedition	Kúblái’s
Hunting equipment and Expedition	Kang-hi’s
Hunting equipment and Expedition	DASH preserves. (See also Sport.)
Hutton	Captain
Hwa-chau	
Hwai-lu	"or Hwo-lu-h’ien (Khavailu), the Birmingham of N. Shansi"
Hwai-ngan-fu (Coiganju)	
Hwai River	
Hwang-ho (Yellow River	
Hwang-ho (Yellow River	changes in its courses
Hwang-ho (Yellow River	its embankments
Hwan-ho	
Hyena	
Hyrcania	king of
Hyrcania	
Iabadiu	
Ibn-al-Furát	
Ibn Batuta (Moorish traveller	circa A.D. 1330–1350)
Ibn Batuta (Moorish traveller	his account of Chinese juggling
Ibn Batuta (Moorish traveller	his account of Khansa (Kinsay)
Ibn Batuta (Moorish traveller	of Zayton
Ibn Batuta (Moorish traveller	in Sumatra
Ibn Batuta (Moorish traveller	on Camphor
Ibn Batuta (Moorish traveller	in Ceylon
Ibn Batuta (Moorish traveller	at Kaulam
Ibn Batuta (Moorish traveller	in Malabar
Ibn Batuta (Moorish traveller	sees Rukh
Ibn Batuta (Moorish traveller	his account of Maldives
Ibn Batuta (Moorish traveller	dog-sledges
Ibn Batuta (Moorish traveller	Market in Land of Darkness
Ibn Batuta (Moorish traveller	on Silver Mines of Russia
Ibn Fozlán	see Fozlán
Ichin-hien	
Ichthyophagous cattle and people	
Icon Amlac	king of Abyssinia
Iconium (Kuniyah	Conia)
Idolatry (Buddhism) and Idolaters	
Idolatry (Buddhism) and Idolaters	in Kashmir
Idolatry (Buddhism) and Idolaters	their decalogue
Idolatry (Buddhism) and Idolaters	Pashai
Idolatry (Buddhism) and Idolaters	Tangut
Idolatry (Buddhism) and Idolaters	Kamul
Idolatry (Buddhism) and Idolaters	Kanchau
Idolatry (Buddhism) and Idolaters	Chingintalas
Idolatry (Buddhism) and Idolaters	Suhchau
Idolatry (Buddhism) and Idolaters	"Etzina, their fasting days"
Idolatry (Buddhism) and Idolaters	Tartars and Cathayans
Idolatry (Buddhism) and Idolaters	Erguiul
Idolatry (Buddhism) and Idolaters	Egrigaia
Idolatry (Buddhism) and Idolaters	Tenduc
Idolatry (Buddhism) and Idolaters	Chandu
Idolatry (Buddhism) and Idolaters	at Kúblái’s birthday feast
Idolatry (Buddhism) and Idolaters	Cachanfu
Idolatry (Buddhism) and Idolaters	Kenjanfu
Idolatry (Buddhism) and Idolaters	Acbalec Manzi
Idolatry (Buddhism) and Idolaters	Sindafu
Idolatry (Buddhism) and Idolaters	Tibet
Idolatry (Buddhism) and Idolaters	Caindu
Idolatry (Buddhism) and Idolaters	Yachi
Idolatry (Buddhism) and Idolaters	Carajan
Idolatry (Buddhism) and Idolaters	Zardandan
Idolatry (Buddhism) and Idolaters	Mien
Idolatry (Buddhism) and Idolaters	Caugigu
Idolatry (Buddhism) and Idolaters	Coloman
Idolatry (Buddhism) and Idolaters	Cuiju
Idolatry (Buddhism) and Idolaters	Cacanfu
Idolatry (Buddhism) and Idolaters	Chinangli
Idolatry (Buddhism) and Idolaters	Sinjumatu
Idolatry (Buddhism) and Idolaters	Coiganju
Idolatry (Buddhism) and Idolaters	Paukin
Idolatry (Buddhism) and Idolaters	Tiju
Idolatry (Buddhism) and Idolaters	Nanghin
Idolatry (Buddhism) and Idolaters	Chinghianfu
Idolatry (Buddhism) and Idolaters	Tanpiju
Idolatry (Buddhism) and Idolaters	Chipangu
Idolatry (Buddhism) and Idolaters	Chamba
Idolatry (Buddhism) and Idolaters	Sumatra
Idolatry (Buddhism) and Idolaters	Nicobars
Idolatry (Buddhism) and Idolaters	Mutfili
Idolatry (Buddhism) and Idolaters	Coilum
Idolatry (Buddhism) and Idolaters	Eli
Idolatry (Buddhism) and Idolaters	Malabar
Idolatry (Buddhism) and Idolaters	Tana
Idolatry (Buddhism) and Idolaters	Cambaet
Idolatry (Buddhism) and Idolaters	Semenat
Idolatry (Buddhism) and Idolaters	Far North
Idolatry (Buddhism) and Idolaters	DASH Origin of
Idolatry (Buddhism) and Idolaters	of Brahmans
Idolatry (Buddhism) and Idolaters	of Jogis
Idols	Tartar
Idols	Tangut
Idols	colossal
Idols	of Cathay
Idols	of Bacsi or Lamas
Idols	of Sensin
Idols	of East generally
Idols	in India
Idols	[Greek: Ieródouloi]
Ieu	Gnostics of
Ifat	Aufat
Ig	"Ij, or Irej, capital of the Shawánkárs"
Igba Zion	"Iakba Siun, king of Abyssinia"
Igba Zion	"Ilchi, commissioner"
Ilchi	modern capital of Khotan
Ilchigadai Khan	
Ilija	hot springs at
Ilkhan	the title
Ilyáts	nomads of Persia
Imáms of the Ismailites	
Im Thurn	"Everard, on Couvade"
Incense	Sumatran
Incense	brown in West India
Incense	"white (i.e. frankincense), in Arabia"
India	
India	horse trade to
India	trade to Manzi or China from
India	believed to breed no horses
India	trade with Persia and Arabia
India	western limits of
India	islands of
India	division of
India	sundry lists of States
India	trade with Aden and Egypt
India	with Arabian ports
India	confusion of Ethiopia and
India	the Greater
India	DASH its extent
India	DASH the Lesser
India	DASH Middle (Abyssinia)
India	DASH remarks on this title
India	DASH Maxima
India	DASH Tertia
India	DASH Superior
India	DASH Sea of
Indian drugs to prolong life	
Indian drugs to prolong life	"DASH geography, dislocation of Polo’s"
Indian drugs to prolong life	"DASH nuts, see Cocoa-nuts"
Indian drugs to prolong life	DASH steel (ondanique)
Indies	"the Three, and their distribution"
Indifference	"religious, of Mongol Emperors"
Indigo	mode of manufacture at Coilum
Indigo	in Guzerat
Indigo	Cambay
Indigo	prohibited by London Painters’ Guild
Indo–China	
Indo–China	States
Indragiri River	
Infants	exposure of
Ingushes of Caucasus	
Innocent IV	Pope
Inscription	"Jewish, at Kaifungfu"
Insult	"mode of, in South India"
Intramural interment prohibited	
Invulnerability	devices for
Invulnerability	‘Irák
Irghai	
Irish	accused of eating their dead kin
Irish	DASH M.S. version of Polo’s Book
Iron	in Kerman
Iron	in Cobinan
Iron Gate (Derbend Pass	said to have been built by Alexander
Iron Gate (Derbend Pass	gate ascribed to
Irtish River	
Isaac	king of Abyssinia
Isabel	queen of Little Armenia
Isabeni	
Isentemur (Sentemur	"Essentemur), Kúblái’s grandson"
Ish	the prefix
Ish	‘Ishin
Ish-Káshm	
Ish-Káshm	dialect
Iskandar	Shah of Malacca
Islands	of the Indian Sea
Islands	of China
Islands	in the Gulf of Cheinan
Islands	Male and Female
Isle d’Orleans	
Isle of Rubies (Ceylon)	
Ismaïl	Shah of Persia
Ismailites	see Assassins
Ispahan (Istanit	"Istan, Spaan), kingdom of Persia"
Israel in China	see Jews
Iteration	wearisome
I’tsing	
Ivongo	
Ivory trade	
Izzuddin Muzaffar	suggests paper-money in Persia
Izzuddin Muzaffar	
Jacinth	
Jacobite Christians	at Mosul
Jacobite Christians	at Tauris
Jacobite Christians	Yarkand
Jacobite Christians	perhaps in China
Jacobs	"Joseph, Barlaam and Josaphat"
Jacobs	Jadah or Yadah-Tásh
Jade stone (jasper) of Khotan	
Jaeschke	Rev. H.A
Jaffa	"Count of, his galley"
Jaipál	Raja
Jájnagar	
Jaláluddín of Khwarizm	
Jamáluddín-al-Thaibi	Lord of Kais
Jamaluddin	envoy from Ma’bar to Khanbaligh
Jambi River	
James of Aragon	king
Jámisfulah (Gauenispola)	
Jamúi Khátún	
Jamúi Khátún	Kúblái’s favourite Queen
Jamúi Khátún	her kindness to the captured Chinese princesses
Jangama sect	
Janibeg	Khan of Sarai
Japan	see Chipangu
Japanese paper-money	
Jaroslawl	
Jaroslawl	"Jase, stitched vessel"
Jaspar (Gaspar	one of the Magi
Jasper and chalcedony	
Jatolic	"Játhalík, Jaselic, Gáthalík ([Greek: katholikós])"
Jauchau	
Jaúzgún	former captain of Badakhshan
Java	the Great
Java	described
Java	"circuit, empires in"
Java	Kúblái’s expedition against
Java	"the Greater and Lesser, meaning of these terms"
Java	"the Less, see Sumatra"
Jawa	Jáwi
Jawa	applied by Arabs to islands and products of the Archipelago generally
Jaya–Sinhavarman II	king of Champa
Jazirah	
Jehangír (Jehan	Shah)
Jenkinson	Anthony
Jerún (Zarun	"island, site of the later Hormuz"
Jerusalem	
Jesuit maps	
Jesujabus	Nestorian Patriarch
Jews	their test of Mahomed’s prophetic character
Jews	shut up by Alexander
Jews	their connection with the Tartars
Jews	"in China, their inscription at Kaifungfu"
Jews	in Coilum
Jews	in Abyssinia
Jibal	
Jibal	"DASH Nakús, or “Hill of the Bell,” Sinai desert"
Jibal-ul-Thabúl	"“Hill of Drums,” near Mecca"
Jiruft	
Jogis (Chughi)	
John XXII	Pope
Johnson	his visit to Khotan
Johnston	Keith
Johore	Sultan of
Jon (Jihon	or Oxus) River
Jordanus	Friar
Jor-fattan (Baliapatan)	
Josephus	
Jubb River	
Judi	Mount
Jugglers	at Khan’s feasts
Jugglers	and gleemen conquer Mien
Juggling extraordinary	
Juji	eldest son of Chinghiz
Juju (Cho-chau)	
Julman	
Junghuhn	on Batta cannibalism
Junghuhn	on camphor trees
Junks. (See also Ships.)	
Jupár	
Justice	administration of Tartar
Justinian	Emperor
Juzgána (Dogana)	
Juzgána (Dogana	
Kaan	"and Khan, the titles"
Kaan	"the Great, see Kúblái"
Kaans	"the series of, and their burial place"
Kaans	massacre of all met by funeral party
Kabul	
Kabul	"Kachkár (Ovis Vignei), wild sheep"
Kadapah	
Kafchi-kúe	
Káfirs of Hindu Kush	
Káfirs of Hindu Kush	their wine
Káfirs of Hindu Kush	"Kahgyur, Tibetan Scripture"
Kahn-i-Panchur	
Kaidu (Caidu) Khan	Kúblái’s cousin and life-long opponent
Kaidu (Caidu) Khan	plots with Nayan
Kaidu (Caidu) Khan	his differences with Kúblái
Kaidu (Caidu) Khan	and constant aggressions
Kaidu (Caidu) Khan	his death
Kaidu (Caidu) Khan	his victorious expedition v. Kúblái
Kaidu (Caidu) Khan	Kúblái’s resentment
Kaidu (Caidu) Khan	his daughter’s valour
Kaidu (Caidu) Khan	sends a host v. Abaga
Kaifung-fu	Jews and their synagogues there
Kaifung-fu	siege of
Kaikhátu (Kiacatu	"Khan of Persia, seizes throne"
Kaikhátu (Kiacatu	his paper-money scheme
Kaikhátu (Kiacatu	his death
Kaikhátu (Kiacatu	his dissolute character
Kaikhosru I. and III	Seljukian dynasty
Kaïkobad I. and III	
Kaikus	Izz ed-din
Káil	see Cail
Káïn (Gháín	a city of Persia
Kaipingfu (Keibung	"Kaiminfu, Kemenfu)"
Kairat-ul-Arab	
Kais	see Kish
Kaisaríya (Caesaraea	Casaria)
Kajjala	"or Khajlak, a Mongol leader"
Kakateya	dynasty
Kakhyens	"Kachyens, tribe in Western Yun-nan"
Kakula	
Kala’ Atishparastan (Cala Ataperistan	“The Castle of the
Kala’ Atishparastan (Cala Ataperistan	Fire–Worshippers”
Kala’ Safed	
Kalajan (Calachan)	
Kalámúr	
Kalantan	
Kalchi	Kalakchi
Kales Devar	king of Ma’bar
Kales Devar	his enormous wealth
Kalgan	or Chang-kia-keu
Kalhát (Kalhátú	"Calatu, Calaiate)"
Kalhát (Kalhátú	described
Kalhát (Kalhátú	idiom of
Kalidása	"the poet, on the Yak"
Kálikút	
Kálikút	"Kálín, marriage prices"
Kalinga	
Kalinjar	
Kalinjar	"Kalmia angustifolia, poisonous"
Kamál Malik	
Kamárah	Komar
Kamasal (Conosalmi	"Kahn-i-asal, “The honey canal”"
Kambala	Kúblái’s grandson
Kambáyat (Cambay)	
Kamboja (Chinla)	
Kampar	"district and River, Buddhist ruins"
Kamul (Komal	"Camul), the Mongol Khamil, Chinese Hami"
Kamul (Komal	"Kanat, or Karez, underground stream"
Kanát-ul-Shám (Conosalmi)	
Kanauj	
Kanbalu Island	
Kancháu (Campichu)	
Kandahár	"Kandar, Ghandhára"
Kandy	
Kanerkes	"or Kanishka, kingdom"
Kanerkes	coins of
Kang-hi	Emperor
Kank	
Kanp’u (Ganpu	old Port of Hang-chau
Kansan	see Shensi
Kansuh	
Kao Hoshang	
Kao–Tsung	Emperor
Kao-yu (Cayu)	
Kapilavastu	
Kapukada	Capucate
Kapukada	"Karábughá, Carabya, Calabra, a military engine"
Kará Hulun	
Karájáng (Carajan	or Yun-nan)
Karákásh (“black jade”) River	
Karákhitaian Empire	
Karákhitaian Empire	DASH Princes of Kerman
Kará Khoja	
Karakorum (Caracoron)	
Karakorum (Caracoron	"Kara Kumiz, special kind of Kumiz"
Karámúren (Caramoran) River	"Mongol name for the Hwang-ho, or Yellow River"
Karámúren (Caramoran) River	"Karana, meaning of"
Karáni (vulgo Cranny)	
Karanút	a Mongol sept
Karaún Jidun	or Khidun
Karaunahs (Caraonas	a robber tribe
Karaunahs (Caraonas	"Karavat, an instrument for self-decollation"
Karens	
Karmathian	heretics
Karnúl	
Karrah	
Karra-Mánikpúr	
Kartazonon	"Karkaddan, rhinoceros"
Kasaidi Arabs	
Kasaidi Arabs	"Kash, jade"
Kashan	
Káshgar (Cascar	
Káshgar (Cascar	Chankans of
Káshgar (Cascar	Kashísh (Casses)
Kashmír (Keshimur	
Kashmír (Keshimur	Buddhism
Kashmír (Keshimur	beauty of the women
Kashmír (Keshimur	conjurers
Kashmír (Keshimur	the language of
Kashmír (Keshimur	sorcery in
Kashmiris	
Kasia	people and hills
Kasyapa Buddha	
Kataghan	breed of horses
Katar pirates	
Katif	
Kattiawár	
Kattiawár	pirates
Kaulam	see Coilum
Kaulam–Malé	
Kauli (Cauly	Corea
Kaunchi (Conchi	Khan
Káveripattanam	
Káveri River	delta of
Káveri River	"Kavir, saline swamp"
Kavváyi	
Káyal	"Káil, see Cail"
Káyal	DASH Pattanam
Káyal	DASH Punnei
Kayten	
Kazan	
Kazáwinah	
Kazbek	
Kazvín (Casvin)	
Keary	C.F
Keary	"Kebteul, night-watch"
Kehran	
Keiaz tribe	
Keibung (Kaipingfu)	
Kelinfu (Kienning-fu	"City, its bridges"
Kemenfu	see Kaipingfu
Kenjanfu (Si-ngan fu)	
Keraits	a great Tartar tribe
Kerala	
Keria	see Kiria
Keriza River	
Kermán	
Kermán	route to Hormus from
Kermán	"steel manufacture, its industries"
Kermán	"king of, Atabeg of"
Kermán	stitched vessels of
Kermán	desert of
Kerulen (K’i-lien) valley	the Khans’ burial-ground
Keshican (Keshikten	Kúblái’s life-guard
Kesmacoran (Kij Makrán	
Kesmacoran (Kij Makrán	Kij–Makrán
Keuyung Kwan	village
Khakán	the word
Khalif (Calif) Mosta’Sim Billah of Baghdad	
Khalif (Calif) Mosta’Sim Billah of Baghdad	taken by Húlakú and starved to death
Khalif (Calif) Mosta’Sim Billah of Baghdad	plot v. the Christians laid by a former — the miracle of the
Khalif (Calif) Mosta’Sim Billah of Baghdad	mountain
Khalif (Calif) Mosta’Sim Billah of Baghdad	becomes secretly a Christian
Khalif (Calif) Mosta’Sim Billah of Baghdad	Khálij
