chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Verb subject	Verb object	Verb object2	Tagged sentence
1	PART 1	24	Of the Province of Badascian	354	The country is extremely cold, but it breeds very good horses, which run with great speed over these wild tracts without being shod with iron.								The country is extremely cold, but it breeds very good horses, which run with great speed over these wild tracts without being shod with iron.
1	PART 1	24	Of the Province of Badascian	355	There are found also the falcons called sacri, which fly well and swiftly ; also those called lanier ; and there is abundant hunting of beasts and birds.								There are found also the falcons called sacri, which fly well and swiftly ; also those called lanier ; and there is abundant hunting of beasts and birds.
1	PART 1	24	Of the Province of Badascian	356	Wheat and good barley are plentiful ; 								Wheat and good barley are plentiful ; 
1	PART 1	24	Of the Province of Badascian	357	they have no oil of olives, but make it from sesamum and nuts.								they have no oil of olives, but make it from sesamum and nuts.
1	PART 1	24	Of the Province of Badascian	358	This kingdom has many a narrow pass and strong post to secure it against the entrance of enemies, and the cities and castles are strongly built on high mountains.								This kingdom has many a narrow pass and strong post to secure it against the entrance of enemies, and the cities and castles are strongly built on high mountains.
1	PART 1	24	Of the Province of Badascian	359	The people are good archers and hunters, and mostly clad in the skins of beasts, on account of the scarcity of cloth.								The people are good archers and hunters, and mostly clad in the skins of beasts, on account of the scarcity of cloth.
1	PART 1	24	Of the Province of Badascian	360	The great ladies, however, wear from sixty to a hundred yards of bombasine wrapped round their body, in order that they may appear very fat, because the men delight in such a shape.								The great ladies, however, wear from sixty to a hundred yards of bombasine wrapped round their body, in order that they may appear very fat, because the men delight in such a shape.
1	PART 1	24	Of the Province of Badascian	361	On the summits of the mountains the air is so pure and salubrious that the inhabitants of the towns and lower valleys, when attacked by fever or other inflammatory complaints, immediately remove thither, and in three or four days recover their health.								On the summits of the mountains the air is so pure and salubrious that the inhabitants of the towns and lower valleys, when attacked by fever or other inflammatory complaints, immediately remove thither, and in three or four days recover their health.
1	PART 1	24	Of the Province of Badascian	362	Marco Polo affirms, that he himself experienced its excellent effects ; 		Marco Polo						Marco Polo affirms, that he himself experienced its excellent effects ; 
1	PART 1	24	Of the Province of Badascian	363	for after being confined nearly a year by sickness, he was advised to try change of air by ascending the hills, and he then immediately regained his strength.				ascending		hills		"for after being confined nearly a year by sickness, he was advised to try change of air by <motion-vb fn-frame=""Intentional_traversing"">ascending</motion-vb> <loc fe=goal>the hills</loc>, and he then immediately regained his strength."
1	PART 1	25	Of the Province of Pascia	364	You are to know that ten days south from Badascian is a province called Pascia.	Pascia		Pascia					You are to know that ten days south from Badascian is a province called Pascia.
1	PART 1	25	Of the Province of Pascia	365	The people have a peculiar language ; 								The people have a peculiar language ; 
1	PART 1	25	Of the Province of Pascia	366	they are worshippers of idols, and much skilled in enchantments and diabolical arts.								they are worshippers of idols, and much skilled in enchantments and diabolical arts.
1	PART 1	25	Of the Province of Pascia	367	The men wear ear-rings and buckles of gold and silver, with pearls and precious stones.								The men wear ear-rings and buckles of gold and silver, with pearls and precious stones.
1	PART 1	25	Of the Province of Pascia	368	They are a very artful and malicious people.								They are a very artful and malicious people.
1	PART 1	25	Of the Province of Pascia	369	The province is extremely hot, and the people live upon flesh and rice.								The province is extremely hot, and the people live upon flesh and rice.
1	PART 1	25	Of the Province of Pascia	370	Now let us leave it, and tell of another, which is distant from this seven days towards the south-east.				leave	us	it		"Now let us <motion-vb fn-frame=""Departing"">leave</motion-vb> <loc fe=source>it</loc>, and tell of another, which is distant from this seven days towards the south-east."
1	PART 1	26	Of the Province of Kesimur	371	Kesimur is inhabited by idolaters, who have a language of their own.	Kesimur		Kesimur					Kesimur is inhabited by idolaters, who have a language of their own.
1	PART 1	26	Of the Province of Kesimur	372	They have a wonderful knowledge of the enchantments of devils, making their images speak, and by sorcery changing the seasons, causing great darkness, and doing other wonders which could not be believed unless they were seen.								They have a wonderful knowledge of the enchantments of devils, making their images speak, and by sorcery changing the seasons, causing great darkness, and doing other wonders which could not be believed unless they were seen.
1	PART 1	26	Of the Province of Kesimur	373	The idols of this province are the heads over all the others, and went down hence to the neighbouring countries.				went	idols			"The idols of this province are the heads over all the others, and <motion-vb fn-frame=""Motion"">went</motion-vb> down hence to <loc fe=goal>the neighbouring countries</loc>."
1	PART 1	26	Of the Province of Kesimur	374	The people are meagre and of a brown complexion ; 								The people are meagre and of a brown complexion ; 
1	PART 1	26	Of the Province of Kesimur	375	but the females are very beautiful.								but the females are very beautiful.
1	PART 1	26	Of the Province of Kesimur	376	They live on flesh and rice, and have a number of cities and castles.								They live on flesh and rice, and have a number of cities and castles.
1	PART 1	26	Of the Province of Kesimur	377	They have woods and deserts, and passes so strong that they have little dread of an invader: their king rules with great justice.								They have woods and deserts, and passes so strong that they have little dread of an invader: their king rules with great justice.
1	PART 1	26	Of the Province of Kesimur	378	In this country are hermits, who observe great abstinence in eating and drinking, and carefully abstain from all offences against their faith ; 								In this country are hermits, who observe great abstinence in eating and drinking, and carefully abstain from all offences against their faith ; 
1	PART 1	26	Of the Province of Kesimur	379	and this is done through veneration of their gods.								and this is done through veneration of their gods.
1	PART 1	26	Of the Province of Kesimur	380	They have abbeys and monasteries, are held in much reverence by the people of the country, and live to a great age.								They have abbeys and monasteries, are held in much reverence by the people of the country, and live to a great age.
1	PART 1	26	Of the Province of Kesimur	381	The coral brought from our land is sold more readily there than in any other nation.								The coral brought from our land is sold more readily there than in any other nation.
1	PART 1	26	Of the Province of Kesimur	382	From this place you may go to the sea of India, and if we went farther we should enter into that country ; 			sea of India	go,went,enter	you,we,we	,,	,,	From this place you may <motion-vb fn-frame=”Motion”>go</motion-vb> to <loc fe=goal>the sea of India</loc>, and if we <motion-vb fn-name=”Motion”>went</Motion> <loc fe=goal>farther</loc> we should <motion-vb fn-frame=”Arriving”>enter</motion-vb> into <loc fe=goal>that country</loc> ; 
1	PART 1	26	Of the Province of Kesimur	383	but being to return that way, we will then describe it in due order, and now go back to Badascian.			Badascian	return,go	,we	way,	,	but being to <motion-vb fn-frame=”Arriving”>return</motion-vb> that way, we will then describe it in due order, and now <motion-vb fn-frame=”Motion”>go</motion-vb> back to <loc fe=goal>Badascian</loc>.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	384	When a man departs from Badascian, he goes twelve days between north-east and east, along a river which belongs to a brother of the lord of that land.	Vokhan, Pamier, Belor		Badascian					When a man departs from Badascian, he goes twelve days between north-east and east, along a river which belongs to a brother of the lord of that land.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	385	There are many castles, and a good number of inhabitants, who are valiant and adore Mohammed.		Mohammed						There are many castles, and a good number of inhabitants, who are valiant and adore Mohammed.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	386	He then comes to a province named Vokhan, not very large, being only three days' journey in every direction.			Vokhan					He then comes to a province named Vokhan, not very large, being only three days' journey in every direction.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	387	The people are of the same description, and subject to the ruler of Badascian.			Badascian					The people are of the same description, and subject to the ruler of Badascian.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	388	Wild beasts and birds of every kind for hunting are most abundant.								Wild beasts and birds of every kind for hunting are most abundant.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	389	Having left this place, and travelled three days, always over mountains, he ascends to a district which is said to be the highest in the world.				left,travelled	,	place,	,	Having <motion-vb fn-frame=”Departing”>left</motion-vb> <loc fe=source>this place</loc>, and <motion-vb fn-frame=”Travel”>travelled</motion-vb> three days, always over mountains, he ascends to a district which is said to be the highest in the world.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	390	Here he finds a plain between two vast hills, through which flows a very fine river, issuing from a large lake ; 								Here he finds a plain between two vast hills, through which flows a very fine river, issuing from a large lake ; 
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	391	and it is the best pasturage in the world, for a lean animal becomes fat here in ten days.								and it is the best pasturage in the world, for a lean animal becomes fat here in ten days.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	392	All kinds of wild animals abound ; 								All kinds of wild animals abound ; 
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	393	in particular, a species of sheep with horns of three, four, and even six palms long.								in particular, a species of sheep with horns of three, four, and even six palms long.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	394	These are formed by the shepherds into large spoons, out of which they eat ; and are even employed in enclosing the places where they keep their cattle.								These are formed by the shepherds into large spoons, out of which they eat ; and are even employed in enclosing the places where they keep their cattle.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	395	The hornsare heaped up in large quantities along the road, for the purpose of guiding travellers during winter, when it is covered with snow.								The hornsare heaped up in large quantities along the road, for the purpose of guiding travellers during winter, when it is covered with snow.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	396	While a man passes for twelve days along this high plain, which is called Pamier,he sees neither habitation nor verdure, but must carry all his provisions along with him.								While a man passes for twelve days along this high plain, which is called Pamier,he sees neither habitation nor verdure, but must carry all his provisions along with him.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	397	No birds can live in this cold region; 								No birds can live in this cold region; 
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	398	and I can even state that the fire does not burn so clear nor with the same colour as in other places, nor does it cook victuals so well.								and I can even state that the fire does not burn so clear nor with the same colour as in other places, nor does it cook victuals so well.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	399	Leaving this place, he has to go on forty days between north and north-east, and passes many rivers and deserts ; and in all this journey finds neither verdure nor habitation, but must carry all his provisions along with him.				Leaving,go	,	place,	,	<motion-vb fn-frame=”Departing”>Leaving</motion-vb> <loc fe=source>this place</loc>, he has to <motion-vb fn-frame=”Motion”>go</motion-vb> on forty days between north and north-east, and passes many rivers and deserts ; and in all this journey finds neither verdure nor habitation, but must carry all his provisions along with him.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	400	This country is called Belor.			Belor					This country is called Belor.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	401	The people live in very lofty mountains.								The people live in very lofty mountains.
1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	402	They are idolaters, extremely savage, violent, and cruel, subsist by hunting, and dress themselves in the skins of beasts.								They are idolaters, extremely savage, violent, and cruel, subsist by hunting, and dress themselves in the skins of beasts.
1	PART 1	28	Of the Province of Cascar	403	Cascar was anciently a kingdom, but is now under the dominion of the great khan.	Cascar	Khan	Cascar					Cascar was anciently a kingdom, but is now under the dominion of the great khan.
1	PART 1	28	Of the Province of Cascar	404	The people adore Mohammed, and have cities and castles; 		Mohammed						The people adore Mohammed, and have cities and castles; 
1	PART 1	28	Of the Province of Cascar	405	they are situated between the north and east.								they are situated between the north and east.
1	PART 1	28	Of the Province of Cascar	406	They subsist by merchandise and manufactures, having also fine gardens, vineyards, and orchards, with a good supply of silk.								They subsist by merchandise and manufactures, having also fine gardens, vineyards, and orchards, with a good supply of silk.
1	PART 1	28	Of the Province of Cascar	407	The merchants, in carrying on their trade, go round the whole world ; 				go	merchants	world		The merchants, in carrying on their trade, <motion-vb fn-frame=”Motion”>go</motion-vb> round <loc fe=goal>the whole world</loc> ; 
1	PART 1	28	Of the Province of Cascar	408	but they are sordid and covetous, eating and drinking very poorly.								but they are sordid and covetous, eating and drinking very poorly.
1	PART 1	28	Of the Province of Cascar	409	Some Nestorian Christians reside here, observing their own customs and laws.								Some Nestorian Christians reside here, observing their own customs and laws.
1	PART 1	28	Of the Province of Cascar	410	The people have a language of their own ; 								The people have a language of their own ; 
1	PART 1	28	Of the Province of Cascar	411	and the province extends five days' journey.								and the province extends five days' journey.
1	PART 1	28	Of the Province of Cascar	412	Now let us leave it and speak of Samarcan.			Samarcan	leave	us	it		"Now let us <motion-vb fn-frame=""Departing"">leave</motion-vb> <loc fe=goal>it</loc> and speak of Samarcan."
1	PART 1	29	Of the City of Samarcan	413	Samarcan is a very great and noble city, lying to the south, inhabited by Christians and Saracens.	Samarcan		Samarcan					Samarcan is a very great and noble city, lying to the south, inhabited by Christians and Saracens.
1	PART 1	29	Of the City of Samarcan	414	The people are governed by a nephew of the great khan, who, however, is not his friend, but is in open hostility against him.		Khan						The people are governed by a nephew of the great khan, who, however, is not his friend, but is in open hostility against him.
1	PART 1	29	Of the City of Samarcan	415	I have to tell you a great wonder which happened in this city.								I have to tell you a great wonder which happened in this city.
1	PART 1	29	Of the City of Samarcan	416	You must know that not very long since, Ciagatai, brother to the great khan, became a Christian, and was lord of that and of many other countries.		Ciagatai,Khan						You must know that not very long since, Ciagatai, brother to the great khan, became a Christian, and was lord of that and of many other countries.
1	PART 1	29	Of the City of Samarcan	417	The believers of Samarcan rejoiced greatly at his conversion, and erected a large church in honour of it, bearing the name of St John the Baptist.			Samarcan					The believers of Samarcan rejoiced greatly at his conversion, and erected a large church in honour of it, bearing the name of St John the Baptist.
1	PART 1	29	Of the City of Samarcan	418	They took a large and fine stone belonging to the Saracens, and made it the base of a column, which rose in the middle of the edifice, and supported the whole roof.								They took a large and fine stone belonging to the Saracens, and made it the base of a column, which rose in the middle of the edifice, and supported the whole roof.
1	PART 1	29	Of the City of Samarcan	419	Now it came to pass that Ciagatai died, whereupon the Mohammedans, having been much enraged at this stone being taken for the use of the church, consulted with each other how to recover it by force.		Ciagatai		came,pass	it,	,	,	Now it <motion-vb fn-frame=”Transition_to_a_situation”>came</motion-vb> to <motion-vb fn-frame=”Communication”>pass</motion-vb> that Ciagatai died, whereupon the Mohammedans, having been much enraged at this stone being taken for the use of the church, consulted with each other how to recover it by force.
1	PART 1	29	Of the City of Samarcan	420	This they could now easily do, being ten to one of their adversaries. 								This they could now easily do, being ten to one of their adversaries. 
1	PART 1	29	Of the City of Samarcan	421	Several of their elders went and told the Christians that they wished to receive back the slab, which had been formerly theirs.				went	elders			"Several of their elders <motion-vb fn-frame=""Motion"">went</motion-vb> and told the Christians that they wished to receive back the slab, which had been formerly theirs."
1	PART 1	29	Of the City of Samarcan	422	The latter answered, that they would willingly restore it, but for the injury it would do to their building, and offered to pay a fair price for it.								The latter answered, that they would willingly restore it, but for the injury it would do to their building, and offered to pay a fair price for it.
1	PART 1	29	Of the City of Samarcan	423	The others replied, that they wished neither gold nor treasure, but must have their stone.								The others replied, that they wished neither gold nor treasure, but must have their stone.
1	PART 1	29	Of the City of Samarcan	424	The government now belonged to the nephew of the great khan, who commanded that within two days it should be restored.		Khan						The government now belonged to the nephew of the great khan, who commanded that within two days it should be restored.
1	PART 1	29	Of the City of Samarcan	425	When the Christians received that order, they were much grieved, and knew not what to do.								When the Christians received that order, they were much grieved, and knew not what to do.
1	PART 1	29	Of the City of Samarcan	426	They went, however, and with many tears implored John the Baptist to relieve them in this tribulation.				went	They			They <motion-vb fn-name=”Motion”>went</motion-vb>, however, and with many tears implored John the Baptist to relieve them in this tribulation.
1	PART 1	29	Of the City of Samarcan	427	On the morning of the day when the stone was to be returned, the pillar, by the power of our Lord, rose up at least three palms, and supported itself as well as when the stone was beneath it, and has continued to do so till this day.								On the morning of the day when the stone was to be returned, the pillar, by the power of our Lord, rose up at least three palms, and supported itself as well as when the stone was beneath it, and has continued to do so till this day.
1	PART 1	29	Of the City of Samarcan	428	This was and still is accounted one of the greatest miracles that ever happened in the world.								This was and still is accounted one of the greatest miracles that ever happened in the world.
1	PART 1	29	Of the City of Samarcan	429	Now let me tell you of a province which is called Yarcan.			Yarcan					Now let me tell you of a province which is called Yarcan.
1	PART 1	30	Of the Province of Yarcan	430	Yarcan is a province five days' journey in length.	Yarcan		Yarcan					Yarcan is a province five days' journey in length.
1	PART 1	30	Of the Province of Yarcan	431	The people obey the law of Mohammed, but there are some Nestorian Christians; 		Mohammed						The people obey the law of Mohammed, but there are some Nestorian Christians; 
1	PART 1	30	Of the Province of Yarcan	432	they are subject to the nephew of the khan mentioned above.		Khan						they are subject to the nephew of the khan mentioned above.
1	PART 1	30	Of the Province of Yarcan	433	All necessaries are in great abundance.								All necessaries are in great abundance.
1	PART 1	30	Of the Province of Yarcan	434	Cotton is also grown, and the inhabitants are skilful artisans.								Cotton is also grown, and the inhabitants are skilful artisans.
1	PART 1	30	Of the Province of Yarcan	435	They suffer severely by swellings in the legs and in the throat, occasioned by the bad quality of the water.								They suffer severely by swellings in the legs and in the throat, occasioned by the bad quality of the water.
1	PART 1	30	Of the Province of Yarcan	436	Finding nothing else worth mentioning, I shall go on to Cotan.			Cotan	go	I			Finding nothing else worth mentioning, I shall <motion-vb fn-frame=”Motion”>go</motion-vb> on to <loc fe=goal>Cotan</loc>.
1	PART 1	31	Of the great Province of Cotan	437	Cotan is a province between north-east and east, and is eight days' journey in length.	Cotan		Cotan					Cotan is a province between north-east and east, and is eight days' journey in length.
1	PART 1	31	Of the great Province of Cotan	438	The people adore Mohammed ; 		Mohammed						The people adore Mohammed ; 
1	PART 1	31	Of the great Province of Cotan	439	they have a number of cities and castles.								they have a number of cities and castles.
1	PART 1	31	Of the great Province of Cotan	440	The capital is a noble town, called by the name of the kingdom.								The capital is a noble town, called by the name of the kingdom.
1	PART 1	31	Of the great Province of Cotan	441	They have all things in abundance, a large supply of silk, with vineyards and good orchards.								They have all things in abundance, a large supply of silk, with vineyards and good orchards.
1	PART 1	31	Of the great Province of Cotan	442	They carry on merchandise and manufactures, but are not men at arms.								They carry on merchandise and manufactures, but are not men at arms.
1	PART 1	32	Of the Province of Pein	443	Pein is a province five days' journey in length, between north-east and east.	Pein		Pein					Pein is a province five days' journey in length, between north-east and east.
1	PART 1	32	Of the Province of Pein	444	The people adore Mohammed, are subject to the great khan, and have a number of towns and castles.		Mohammed,Khan						The people adore Mohammed, are subject to the great khan, and have a number of towns and castles.
1	PART 1	32	Of the Province of Pein	445	The noblest city and capital is called by the name of the kingdom.								The noblest city and capital is called by the name of the kingdom.
1	PART 1	32	Of the Province of Pein	446	Here is a river in which are found the stones named jasper and calcedony.								Here is a river in which are found the stones named jasper and calcedony.
1	PART 1	32	Of the Province of Pein	447	The people are very well supplied with necessaries, and grow a good deal of silk.								The people are very well supplied with necessaries, and grow a good deal of silk.
1	PART 1	32	Of the Province of Pein	448	They live by merchandise and arts, and have a custom which I will now tell you.								They live by merchandise and arts, and have a custom which I will now tell you.
1	PART 1	32	Of the Province of Pein	449	When a woman has a husband who has gone a journey, and is to be absent above twenty days, as soon as he has departed she takes another partner, being fully allowed  by usage to do so; 				gone,departed	husband,he	journey,	,	When a woman has a husband who has <motion-vb fn-frame=”Motion”>gone</motion-vb> a <loc fe=goal>journey</loc>, and is to be absent above twenty days, as soon as he has <motion-vb fn-frame=”Departing”>departed</motion-vb> she takes another partner, being fully allowed  by usage to do so; 
1	PART 1	32	Of the Province of Pein	450	while the husband, in the place where he goes, takes another wife.								while the husband, in the place where he goes, takes another wife.
1	PART 1	32	Of the Province of Pein	451	Know that all the provinces now described from Cascar to the present, and still farther on, belong to Great Turkey.			Cascar,Great Turkey					Know that all the provinces now described from Cascar to the present, and still farther on, belong to Great Turkey.
1	PART 1	32	Of the Province of Pein	452	Now let us tell of a province named Ciarcian.			Ciarcian					Now let us tell of a province named Ciarcian.
1	PART 1	33	Of the Province of Ciarcian	453	Ciarcian is a province of Great Turkey, lying between north-east and east, with a capital city of the same name.	Ciarcian		Ciarcian,Great Turkey					Ciarcian is a province of Great Turkey, lying between north-east and east, with a capital city of the same name.
1	PART 1	33	Of the Province of Ciarcian	454	The people adore Mohammed, and have a good number of towns and castles.		Mohammed						The people adore Mohammed, and have a good number of towns and castles.
1	PART 1	33	Of the Province of Ciarcian	455	There is a river bringing jasper and calcedony, which, being of excellent quality, they take to sell in Cathay, and thus make great profit.			Cathay					There is a river bringing jasper and calcedony, which, being of excellent quality, they take to sell in Cathay, and thus make great profit.
1	PART 1	33	Of the Province of Ciarcian	456	This province is sandy, as well as the whole road from Cotan hither ; and much of the water is bad and bitter, but in various places it is good.			Cotan					This province is sandy, as well as the whole road from Cotan hither ; and much of the water is bad and bitter, but in various places it is good.
1	PART 1	33	Of the Province of Ciarcian	457	When an enemy passes through the country, they flee with their wives, children, and cattle, two or three days' journey through the sand to places abounding in fine water and pasturage ; 								When an enemy passes through the country, they flee with their wives, children, and cattle, two or three days' journey through the sand to places abounding in fine water and pasturage ; 
1	PART 1	33	Of the Province of Ciarcian	458	and no one can tell where they have gone, because the wind blowing the sand obliterates all traces of their march, and they thus escape the invader.				gone	they			and no one can tell where they have <motion-vb fn-frame=”Motion”>gone</vb-motion>, because the wind blowing the sand obliterates all traces of their march, and they thus escape the invader.
1	PART 1	33	Of the Province of Ciarcian	459	But when a friendly army passes through, they send away only the beasts, because the troops would take and eat them, without any payment.								But when a friendly army passes through, they send away only the beasts, because the troops would take and eat them, without any payment.
1	PART 1	33	Of the Province of Ciarcian	460	After departing from Ciarcian, you go five days through the waste, finding the water bad and bitter, but occasionally sweet and good.			Ciarcian	departing				"After <motion-vb fn-frame=""Departing"">departing</motion-vb> from <loc fe=source>Ciarcian</loc>, you go five days through the waste, finding the water bad and bitter, but occasionally sweet and good."
1	PART 1	33	Of the Province of Ciarcian	461	At the end of these five days you come to a city which lies at the commencement of the great desert, wherein provisions are laid in for its passage, and therefore I must tell you about it.								At the end of these five days you come to a city which lies at the commencement of the great desert, wherein provisions are laid in for its passage, and therefore I must tell you about it.
1	PART 1	34	Of the City and Desert of Lop	462	Lop is a large city at the entrance of the great desert bearing its name, and lying between the east and northeast.	Lop		Lop					Lop is a large city at the entrance of the great desert bearing its name, and lying between the east and northeast.
1	PART 1	34	Of the City and Desert of Lop	463	It belongs to the khan, and the people adore Mohammed.		Khan,Mohammed						It belongs to the khan, and the people adore Mohammed.
1	PART 1	34	Of the City and Desert of Lop	464	You must know that those persons who wish to pass this tract rest in the city a week to refresh themselves and their cattle ; 				pass		rest		"You must know that those persons who wish to <motion-vb fn-frame=""Traversing"">pass</motion-vb> this tract <loc fe=""destination"">rest</loc> in the city a week to refresh themselves and their cattle ; "
1	PART 1	34	Of the City and Desert of Lop	465	then, having taken a month's provisions and provender, they enter upon the desert, which I assure you is so extensive that if a man were to travel through its whole length, it would employ a year ; 				enter,travel				"then, having taken a month's provisions and provender, they enter upon the desert, which I assure you is so extensive that if a man were to <motion-vb fn-frame=""Travel"">travel</motion-vb> through its whole length, it would employ a year ; "
1	PART 1	34	Of the City and Desert of Lop	466	and even at its smallest breadth, a month is requisite.								and even at its smallest breadth, a month is requisite.
1	PART 1	34	Of the City and Desert of Lop	467	It consists altogether of mountains and valleys of sand, and nothing is got to eat; 								It consists altogether of mountains and valleys of sand, and nothing is got to eat; 
1	PART 1	34	Of the City and Desert of Lop	468	but after travelling a day and a night, you find sweet water sufficient for from fifty to a hundred men, with their animals.				travelling		day,night		"but after <motion-vb fn-frame=""Travel"">travelling</motion-vb> a day and a night, you find sweet water sufficient for from fifty to a hundred men, with their animals."
1	PART 1	34	Of the City and Desert of Lop	469	A larger body could not be supplied.								A larger body could not be supplied.
1	PART 1	34	Of the City and Desert of Lop	470	Thus, water is seen daily, or altogether in about twenty-eight places, and except in three or four it is good.								Thus, water is seen daily, or altogether in about twenty-eight places, and except in three or four it is good.
1	PART 1	34	Of the City and Desert of Lop	471	Beasts or birds there are none, because they could not find food; 								Beasts or birds there are none, because they could not find food; 
1	PART 1	34	Of the City and Desert of Lop	472	but there is a great wonder which I must now tell you.								but there is a great wonder which I must now tell you.
1	PART 1	34	Of the City and Desert of Lop	473	When a party rides by night through this desert, and any one lags behind, or straggles from his companions through sleep or any other cause, when he seeks to return to them, he hears spirits speak to him in such a manner that they seem to be his comrades, and they frequently call him by name, and thus lead him out of his way so that he never regains it, and many persons are thus lost and perish.				rides,return,lead	party,,they	,,him	,,	When a party <motion-vb fn-frame=”Self_motion”>rides</motion-vb> by night through this desert, and any one lags behind, or straggles from his companions through sleep or any other cause, when he seeks to <motion-vb fn-frame=”Arriving”>return</motion-vb> to <loc fe=goal>them</loc>, he hears spirits speak to him in such a manner that they seem to be his comrades, and they frequently call him by name, and thus <motion-vb fn-frame=”Cotheme”>lead</motion-vb> him out of his way so that he never regains it, and many persons are thus lost and perish.
1	PART 1	34	Of the City and Desert of Lop	474	I must tell you, too, that even by day you hear these voices of spirits, and even tambours, and many other instruments sounding.								I must tell you, too, that even by day you hear these voices of spirits, and even tambours, and many other instruments sounding.
1	PART 1	34	Of the City and Desert of Lop	475	They find it necessary, also, before going to rest at night, to fix an advanced signal, pointing out the course to be afterwards held ; 				going				"They find it necessary, also, before <motion-vb fn-frame="" "">going</motion-vb> to <loc fe=goal>rest</loc> at night, to fix an advanced signal, pointing out the course to be afterwards held ; "
1	PART 1	34	Of the City and Desert of Lop	476	likewise to attach a bell to each of the animals, that they may be more easily kept from straggling.								likewise to attach a bell to each of the animals, that they may be more easily kept from straggling.
1	PART 1	34	Of the City and Desert of Lop	477	In this manner, amid much danger and fear, this desert is passed.				passed				In this manner, amid much danger and fear, this desert is passed.
1	PART 1	34	Of the City and Desert of Lop	478	Now we must tell you of the countries that lie on the other side.								Now we must tell you of the countries that lie on the other side.
1	PART 1	35	Of the Province of Tangut and City of Sacchion	479	When you have rode thirty days through this desert, you find a city named Sacchion,which belongs to the khan.	Sacchion,Tangut	Khan	Sacchion	rode	you			"When you have <motion-vb fn-frame=""Self_motion"">rode</motion-vb> thirty days through this desert, you find a city named Sacchion,which belongs to the khan."
1	PART 1	35	Of the Province of Tangut and City of Sacchion	480	 The province is called Tangut,and the people are idolaters, mixed with some Nestorian Christians and Saracens.			Tangut					 The province is called Tangut,and the people are idolaters, mixed with some Nestorian Christians and Saracens.
1	PART 1	35	Of the Province of Tangut and City of Sacchion	481	The first have languages of their own ; 								The first have languages of their own ; 
1	PART 1	35	Of the Province of Tangut and City of Sacchion	482	they subsist not by merchandise, but by the grain which they produce from the earth.								they subsist not by merchandise, but by the grain which they produce from the earth.
1	PART 1	35	Of the Province of Tangut and City of Sacchion	483	They have many abbeys and monasteries, all full of idols of various shapes, to which they offer frequent sacrifices and homage.								They have many abbeys and monasteries, all full of idols of various shapes, to which they offer frequent sacrifices and homage.
1	PART 1	35	Of the Province of Tangut and City of Sacchion	484	Every man who has children rears a sheep, and at a particular festival at the end of the year, leads them along with that animal into the presence of the god, to whom they all perform reverence.								Every man who has children rears a sheep, and at a particular festival at the end of the year, leads them along with that animal into the presence of the god, to whom they all perform reverence.
1	PART 1	35	Of the Province of Tangut and City of Sacchion	485	They cook the sheep and offer it very humbly before the idol, leaving it while they make their prayers for the safety of their children.				leaving		it		"They cook the sheep and offer it very humbly before the idol, <motion-vb fn-frame=""Abandonment"">leaving</motion-vb> <loc fe=goal>it</loc> while they make their prayers for the safety of their children."
1	PART 1	35	Of the Province of Tangut and City of Sacchion	486	They then take the meat and carry it to the house, or wherever they please, send for their relations, and eat it with great joy and respect.								They then take the meat and carry it to the house, or wherever they please, send for their relations, and eat it with great joy and respect.
1	PART 1	35	Of the Province of Tangut and City of Sacchion	487	They afterwards collect the bones, and preserve them with much diligence.								They afterwards collect the bones, and preserve them with much diligence.
1	PART 1	35	Of the Province of Tangut and City of Sacchion	488	You must know likewise, that when any one of them dies, his body is burned, and after he is carried to the place for this last ceremony, they erect in the middle of the path a house of cane, covered with cloths of silk and gold.								You must know likewise, that when any one of them dies, his body is burned, and after he is carried to the place for this last ceremony, they erect in the middle of the path a house of cane, covered with cloths of silk and gold.
1	PART 1	35	Of the Province of Tangut and City of Sacchion	489	When the dead man is laid before this ornamented house, they place before him wine and victuals, believing that he will be similarly honoured in the other world.								When the dead man is laid before this ornamented house, they place before him wine and victuals, believing that he will be similarly honoured in the other world.
