chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	Travel Verb Phrases	Travel Noun Phrases
3	PART 1	40	City of Escier (Shaher)	680	Let us now leave this city, and tell you of Dufar.			Dufar	Let,tell	Let,tell	Let us now leave this city , and tell you of Dufar,tell you of Dufar	us,you
3	PART 1	41	City of Dufar	681	This is a beautiful, large, and noble city, 500 miles south-west from Escier.	Dufar		Escier				
3	PART 1	41	City of Dufar	682	The people are Saracens, adoring Mohammed, and ruled by a count, who is subject to Aden, to which, indeed, this city belongs.		Mohammed	Aden	ruled	ruled	ruled by a count , who is subject to Aden , to which , indeed , this city belongs	a count , who is subject to Aden , to which , indeed , this city belongs
3	PART 1	41	City of Dufar	683	The port is very good, and merchants convey thence many very fine Arabian horses.							
3	PART 1	41	City of Dufar	684	Numerous cities and castles depend upon it, and the country yields much incense.							
3	PART 1	41	City of Dufar	685	The trees are about the size of a small fir, and incisions are made with knives in various places, whence flows the incense, which, indeed, through the great heat, often runs out of itself.				made	made	made with knives in various places	knives in various places
3	PART 1	41	City of Dufar	686	I shall now proceed to relate of the Gulf of Calatu.			Calatu	proceed,relate	proceed,relate	proceed to relate of the Gulf of Calatu,relate of the Gulf of Calatu	the Gulf of Calatu
3	PART 1	42	Gulf and City of Calatu	687	Calatu is a large city within the gulf of the same name, six hundred miles north-west from Dufar.	Calatu		Calatu,Dufar				
3	PART 1	42	Gulf and City of Calatu	688	It is a noble seaport, inhabited by Saracens, who are subject to Cormos.			Cormos	inhabited	inhabited	inhabited by Saracens	Saracens
3	PART 1	42	Gulf and City of Calatu	689	When the melik of that city is at war with a more powerful prince, he retires to this place, which is strong by nature and art, and finds himself secure.				secure	secure	secure	
3	PART 1	42	Gulf and City of Calatu	690	The people have no grain but what they import.							
3	PART 1	42	Gulf and City of Calatu	691	Many ships bring the goods and spices of India, which are distributed throughout the interior, and many fine horses sent in return.			India	distributed,sent	distributed,sent	distributed throughout the interior,sent in return	the interior,return
3	PART 1	42	Gulf and City of Calatu	692	But I must observe, that this city is at the mouth of the Gulf of Calatu, so that the melik can prevent vessels from sailing in or out without his consent.			Calatu	observe,prevent	observe,prevent	observe , that this city is at the mouth of the Gulf of Calatu , so that the melik can prevent vessels from sailing in or out without his consent,prevent vessels from sailing in or out without his consent	vessels from sailing
3	PART 1	42	Gulf and City of Calatu	693	This power he often uses against the sultan of Creman ;			Creman				
3	PART 1	42	Gulf and City of Calatu	694	for when that prince demands any exorbitant tribute from him or other vassals, they remove from Cormos to Calatu, and allow no ships to pass, whence the other prince suffers severely, and is obliged to abate his demands.			Cormos,Calatu	allow,pass,whence,obliged,abate	allow,pass,whence,obliged,abate	allow no ships to pass , whence the other prince,pass,whence the other prince,obliged to abate his demands,abate his demands	no ships,pass,the other prince,his demands
3	PART 1	42	Gulf and City of Calatu	695	The people of this country live on dates and salt fish, which are abundant ; 				live	live	live on dates and salt fish	dates and salt fish
3	PART 1	42	Gulf and City of Calatu	696	but many rich men are well supplied with better food.				supplied	supplied	supplied with better food	better food
3	PART 1	43	Return to Cormos	697	After departing from Calatu, and sailing three hundred miles between north-west and north, you find the city of Cormos ;	Cormos		Calatu,Cormos	departing	departing		
3	PART 1	43	Return to Cormos	698	but if you take a direction from the former place between north-west and north, and sail five hundred miles, you come to Quis.			Quis	sail	sail	sail five hundred miles	five hundred miles
3	PART 1	43	Return to Cormos	699	However, we shall pass over this last place, and speak of Cormos, a large and noble capital, subject to a melik, who commands many towns and castles.			Cormos	pass,speak	pass,speak	pass over this last place , and speak of Cormos , a large and noble capital , subject to a melik , who commands many towns and castles,speak of Cormos , a large and noble capital , subject to a melik , who commands many towns and castles	this last place,Cormos , a large and noble capital
3	PART 1	43	Return to Cormos	700	The people are Saracens, and adore Mohammed.		Mohammed					
3	PART 1	43	Return to Cormos	701	The heat is very great, on which account every house is provided with ventilators placed on the side whence the wind blows, which being thus admitted, renders the mansion tolerably cool.				provided,placed,being,admitted	provided,placed,being,admitted	provided with ventilators placed on the side whence the wind blows , which being thus admitted , renders the mansion tolerably cool,placed on the side whence the wind blows , which being thus admitted , renders the mansion tolerably cool,being thus admitted	ventilators placed on the side whence the wind blows , which being thus admitted , renders the mansion tolerably cool,the side whence,the mansion
3	PART 1	43	Return to Cormos	702	We gave an account of this place formerly, as well as of Quis and Creman, but have since made a circuit which brought us back to it.			Quis,Creman	gave,made,brought	gave,made,brought	gave an account of this place formerly , as well as of Quis and Creman , but have since made a circuit which brought us back to it,made a circuit which brought us back to it,brought us back to it	an account,a circuit which brought us back to it,us
3	PART 1	43	Return to Cormos	703	However, we will say no more, but proceed now to the description of Great Turkey.			Great Turkey	say,proceed	say,proceed	say no more , but proceed now to the description of Great Turkey,proceed now to the description of Great Turkey	
3	PART 1	44	Turkestan-Wars of Kaidu	704	This country lies to the north-west as you go from Cormos to the river Gihon, extending towards the teritory of the great khan.	Great Turkey	Khan	Cormos,Gihon	extending	extending	extending towards the teritory of the great khan	the teritory of the great khan
3	PART 1	44	Turkestan-Wars of Kaidu	705	It is governed by a nephew (cousin) of his, named Kaidu, grandson of Ciagatai, brother to that monarch.		Kaidu,Ciagatai		governed,named	governed,named	governed by a nephew -LRB- cousin -RRB- of his , named Kaidu , grandson of Ciagatai , brother to that monarch,named Kaidu , grandson of Ciagatai , brother to that monarch	a nephew -LRB- cousin -RRB- of his , named Kaidu , grandson of Ciagatai , brother to that monarch,Kaidu , grandson of Ciagatai ,
3	PART 1	44	Turkestan-Wars of Kaidu	706	He is a very powerful lord, ruling many cities and castles.				ruling	ruling		
3	PART 1	44	Turkestan-Wars of Kaidu	707	His subjects are Tartars, very able combatants, much inured to fighting, and he does not obey the khan, but is rather at perpetual war with him.		Khan		inured,fighting,obey	inured,fighting,obey	fighting,obey the khan	the khan
3	PART 1	44	Turkestan-Wars of Kaidu	708	This is because Kaidu demanded constantly from that monarch a share of his conquests, particularly in Catai and Manji.		Kaidu	Catai,Manji	demanded	demanded	demanded constantly from that monarch a share of his conquests , particularly in Catai and Manji	
3	PART 1	44	Turkestan-Wars of Kaidu	709	The latter said he would willingly grant it to him, as to his other descendants, if he would come to his court and council whenever summoned.				said,grant,come,summoned	said,grant,come,summoned	said he would willingly grant it to him , as to his other descendants , if he would come to his court and council whenever summoned,grant it to him , as to his other descendants , if he would come to his court and council whenever summoned,come to his court and council whenever summoned,summoned	it,his court and council
3	PART 1	44	Turkestan-Wars of Kaidu	710	But the other, afraid to trust his uncle, offered to obey him where he was, but dreaded that if in his power he would be put to death.				trust,offered,obey,was,dreaded,be,put	trust,offered,obey,was,dreaded,be,put	trust his uncle,offered to obey him where he was , but dreaded that if in his power he would be put to death,obey him where he was , but dreaded that if in his power he would be put to death,was , but dreaded that if in his power he would be put to death,dreaded that if in his power he would be put to death,be put to death,put to death	his uncle,death,him,death
3	PART 1	44	Turkestan-Wars of Kaidu	711	Hence arose this discord, and the khan drew his forces around the realm of Kaidu to guard against an invasion; the khan,Kaidu		Kaidu,Khan		arose,drew,guard	arose,drew,guard	arose this discord , and the khan drew his forces around the realm of Kaidu to guard against an invasion ;,drew his forces around the realm of Kaidu to guard against an invasion,guard against an invasion	this discord , and the khan drew his forces around the realm of Kaidu to guard against an invasion ;,his forces around the realm of Kaidu to guard against an invasion,an invasion
3	PART 1	44	Turkestan-Wars of Kaidu	712	yet that prince contrived to penetrate, and fought repeatedly with the armies of Kublai; 		Kublai		penetrate,fought	penetrate,fought	penetrate , and fought repeatedly with the armies of Kublai,fought repeatedly with the armies of Kublai	
3	PART 1	44	Turkestan-Wars of Kaidu	713	for he could bring into the field 100,000 brave and skilful horsemen.				bring	bring	bring into the field	the field
3	PART 1	44	Turkestan-Wars of Kaidu	714	He had with him also many lords of the imperial lineage.				had	had	had with him also many lords of the imperial lineage	him
3	PART 1	44	Turkestan-Wars of Kaidu	715	Each soldier carries to battle sixty arrows, thirty smaller for shooting, and thirty larger, pointed with heavy iron, to throw against the face or arms of the enemy, or cut the cords of his bow; 				pointed,throw,cut	pointed,throw,cut	pointed with heavy iron , to throw against the face or arms of the enemy , or cut the cords of his bow,throw against the face or arms of the enemy , or cut the cords of his bow,cut the cords of his bow	heavy iron , to throw against the face or arms of the enemy,the face or arms of the enemy,the cords of his bow
3	PART 1	44	Turkestan-Wars of Kaidu	716	and when they have discharged all these, they lay their hand on their swords, and strike most terrible blows.				discharged,lay	discharged,lay	discharged all these,lay their hand on their swords , and strike most terrible blows	all these,their hand on their swords , and strike most terrible blows
3	PART 1	44	Turkestan-Wars of Kaidu	717	Now, in the year 1266, this king, with his cousin named Jesudar, assembled a very great army, and marched against two barons that were also his relations, but held their lands from the great khan.		Jesudar,Khan		named,assembled,marched,were,held	named,assembled,marched,were,held	named Jesudar,assembled a very great army , and marched against two barons that were also his relations , but held their lands from the great khan,marched against two barons that were also his relations,were also his relations,held their lands from the great khan	Jesudar,a very great army,two barons that were also his relations,two barons that were also his relations,their lands
3	PART 1	44	Turkestan-Wars of Kaidu	718	Kaidu and his cousin fought with these two chiefs, who had also a very large force, so that between them there were 100,000 horsemen.		Kaidu		fought,had,were	fought,had,were	fought with these two chiefs , who had also a very large force , so that between them there were 100,000 horsemen,had also a very large force , so that between them there were 100,000 horsemen,were 100,000 horsemen	these two chiefs , who had also a very large force , so that between them there were 100,000 horsemen,also a very large force,100,000
3	PART 1	44	Turkestan-Wars of Kaidu	719	They contended hardly and long, and many fell on both sides; 				contended,fell	contended,fell	contended hardly,fell on both sides	both sides
3	PART 1	44	Turkestan-Wars of Kaidu	720	but at last Kaidu conquered;		Kaidu		conquered	conquered	conquered	
3	PART 1	44	Turkestan-Wars of Kaidu	721	 however, the two barons, being well mounted, escaped without injury.				being,mounted,escaped	being,mounted,escaped	being well mounted,escaped without injury	injury
3	PART 1	44	Turkestan-Wars of Kaidu	722	The victor then became still more proud and boastful; 				became	became	became still more proud and boastful	
3	PART 1	44	Turkestan-Wars of Kaidu	723	yet he returned home and remained two years in peace.				returned,remained	returned,remained	returned home and remained two years in peace,remained two years in peace	two years in peace
3	PART 1	44	Turkestan-Wars of Kaidu	724	Then he assembled a mighty host of cavalry, having learned that at Karakorum there was a great army under Nomogan, a son of the khan, and George, a grandson of Prester John.		Nomogan,Khan,George,Prester John	Karakorum	assembled,having,learned,was	assembled,having,learned,was	assembled a mighty host of cavalry , having learned that at Karakorum there was a great army under Nomogan , a son of the khan , and George , a grandson of Prester John,having learned that at Karakorum there was a great army under Nomogan , a son of the khan , and George , a grandson of Prester John,learned that at Karakorum there was a great army under Nomogan , a son of the khan , and George , a grandson of Prester John,was a great army under Nomogan , a son of the khan , and George , a grandson of Prester John	a mighty host of cavalry,Karakorum,a great army under Nomogan , a son of the khan , and George , a grandson of Prester John
3	PART 1	44	Turkestan-Wars of Kaidu	725	He marched thither with all speed, and the two chiefs being informed of his approach, courageously prepared to meet him with their horsemen, amounting to upwards of 60,000.				marched,being,informed,prepared,meet,amounting	marched,being,informed,prepared,meet,amounting	marched thither with all speed,being informed of his approach , courageously prepared to meet him with their horsemen , amounting to upwards of 60,000,informed of his approach , courageously prepared to meet him with their horsemen,meet him with their horsemen,amounting to upwards of 60,000	his approach,him,upwards of 60,000
3	PART 1	44	Turkestan-Wars of Kaidu	726	Having reached the place where his men were ranged in tents on the plain, they skilfully established their own camp.				Having,reached,were,ranged,established	Having,reached,were,ranged,established	Having reached the place where his men were ranged in tents on the plain,reached the place where his men were ranged in tents on the plain,were ranged in tents on the plain,ranged in tents on the plain,established their own camp	the place where his men were ranged in tents on the plain,tents on the plain,their own camp
3	PART 1	44	Turkestan-Wars of Kaidu	727	Each party rested and made preparations for three days, when they advanced to the combat.				rested,made,advanced	rested,made,advanced	rested and made preparations for three days , when they advanced to the combat,advanced to the combat	the combat
3	PART 1	44	Turkestan-Wars of Kaidu	728	There was little advantage on either side ; 				was	was	was little advantage on either side	little advantage on either side
3	PART 1	44	Turkestan-Wars of Kaidu	729	both having about 60,000 mounted men well armed at every point, divided into six squadrons of 10,000.				having,mounted,armed,divided	having,mounted,armed,divided	having about 60,000 mounted men well armed at every point , divided into six squadrons of 10,000,divided into six squadrons of 10,000	60,000,six squadrons of 10,000
3	PART 1	44	Turkestan-Wars of Kaidu	730	They waited only till they heard their lord sound the naccar ; meantime performing loudly on various musical instruments.				waited,heard,sound,performing	waited,heard,sound,performing	waited only till they heard their lord sound the naccar ; meantime performing loudly on various musical instruments,heard their lord sound the naccar ; meantime performing loudly on various musical instruments,sound the naccar ; meantime performing loudly on various musical instruments,performing loudly on various musical instruments	their lord,the naccar ; meantime performing loudly on various musical instruments
3	PART 1	44	Turkestan-Wars of Kaidu	731	At length the signal was given, when the hosts rushed against each other, laying their hands on their bows.				was,given,rushed,laying	was,given,rushed,laying	was given , when the hosts rushed against each other , laying their hands on their bows,given , when the hosts rushed against each other , laying their hands on their bows,rushed against each other , laying their hands on their bows,laying their hands on their bows	each other,their hands,their bows
3	PART 1	44	Turkestan-Wars of Kaidu	732	The arrows filled the air like rain; 				filled	filled	filled the air like rain	the air like rain
3	PART 1	44	Turkestan-Wars of Kaidu	733	men and horses were mortally wounded ; 				were,wounded	were,wounded	were mortally wounded	
3	PART 1	44	Turkestan-Wars of Kaidu	734	noise and cries arose so loud that the thunder of Jove could not have been heard.				arose,have,been,heard	arose,have,been,heard	arose so loud that the thunder of Jove could not have been heard,have been heard,been heard,heard	
3	PART 1	44	Turkestan-Wars of Kaidu	735	Truly this was an evil hour for many, who on both sides fell dead and dying.				was,fell,dying	was,fell,dying	was an evil hour for many , who on both sides fell dead and dying,fell dead and dying	an evil hour for many , who on both sides fell dead and dying
3	PART 1	44	Turkestan-Wars of Kaidu	736	The arrows being discharged, they rushed on with sword and spear, giving and receiving most dreadful blows.				being,discharged,rushed,giving,receiving	being,discharged,rushed,giving,receiving	being discharged,discharged,rushed on with sword and spear , giving and receiving most dreadful blows,giving and receiving most dreadful blows	
3	PART 1	44	Turkestan-Wars of Kaidu	737	You might see arms and hands cut off, and numbers of men rolling senseless on the earth.				see,cut,rolling	see,cut,rolling	see arms and hands cut off,cut off,rolling senseless on the earth	arms and hands
3	PART 1	44	Turkestan-Wars of Kaidu	738	Kaidu displayed signal prowess, and his soldiers would have often been driven off the field, had he not encouraged and rallied them.		Kaidu		displayed,have,been,driven,had,encouraged,rallied	displayed,have,been,driven,had,encouraged,rallied	displayed signal prowess,have often been driven off the field,been driven off the field,driven off the field,encouraged and rallied them	signal,the field
3	PART 1	44	Turkestan-Wars of Kaidu	739	On the other side, the two princes also firmly stood their ground, and it really was one of the most cruel battles ever fought between Tartar tribes.				stood,was,fought	stood,was,fought	was one of the most cruel battles ever fought between Tartar tribes	one of the most cruel battles
3	PART 1	44	Turkestan-Wars of Kaidu	740	Yet though each strove with all his might to discomfit the other, neither could succeed, and the conflict lasted till evening.				discomfit,succeed,lasted	discomfit,succeed,lasted	discomfit the other,succeed,lasted till evening	the other,evening
3	PART 1	44	Turkestan-Wars of Kaidu	741	On this fatal day, multitudes of men fell, many wives were made widows, children made orphans, and households filled with tears and lamentations.				fell,were,made,made,filled	fell,were,made,made,filled	fell,were made widows,made widows,made orphans,made widows,made orphans,filled with tears and lamentations	orphans,orphans,tears and lamentations
3	PART 1	44	Turkestan-Wars of Kaidu	742	But when the sun set, the struggle could endure no longer, and both parties returned to their camp overpowered with fatigue, happy to rest during the night.				endure,returned,overpowered,rest	endure,returned,overpowered,rest	endure no longer,returned to their camp,overpowered with fatigue , happy to rest during the night,rest during the night	their camp,fatigue,the night
3	PART 1	44	Turkestan-Wars of Kaidu	743	When morning dawned, King Kaidu, having received intelligence that the great khan was marching against him with a mighty host, deemed it unsafe to remain longer.		Kaidu,Khan		dawned,having,received,was,marching,deemed,remain	dawned,having,received,was,marching,deemed,remain	dawned,having received intelligence that the great khan was marching against him with a mighty host,received intelligence that the great khan was marching against him with a mighty host,was marching against him with a mighty host,marching against him with a mighty host,deemed it unsafe to remain longer,remain longer	intelligence,him,it
3	PART 1	44	Turkestan-Wars of Kaidu	744	Wherefore he and all his men mounted and rode off to their own country ; 				mounted,rode	mounted,rode	mounted and rode off to their own country,rode off to their own country	
3	PART 1	44	Turkestan-Wars of Kaidu	745	the two princes were so exhausted, that they did not attempt to follow, so that he with his people reached Samarcand, the capital of his kingdom.			Samarcand	were,exhausted,did,attempt,follow,reached	were,exhausted,did,attempt,follow,reached	were so exhausted , that they did not attempt to follow , so that he with his people reached Samarcand , the capital of his kingdom,exhausted , that they did not attempt to follow , so that he with his people reached Samarcand , the capital of his kingdom,did not attempt to follow,attempt to follow,follow,reached Samarcand , the capital of his kingdom	not,Samarcand , the capital of his kingdom
3	PART 1	44	Turkestan-Wars of Kaidu	746	The great khan felt much wrath at Kaidu for committing such ravages, and bethought himself, that had he not been his nephew, he would have seized his land and put him to a cruel death; but regard to his own flesh restrained him.		Khan,Kaidu		felt,committing,had,been,have,seized,put,restrained	felt,committing,had,been,have,seized,put,restrained	felt much wrath at Kaidu for committing such ravages,committing such ravages,been his nephew,have seized his land and put him to a cruel death,seized his land and put him to a cruel death,put him to a cruel death,restrained him	much wrath at Kaidu for committing such ravages,such ravages,his nephew,his land,him,him
3	PART 1	44	Turkestan-Wars of Kaidu	747	Thus he escaped out of the hand of the mighty monarch.				escaped	escaped	escaped out of the hand of the mighty monarch	
3	PART 1	44	Turkestan-Wars of Kaidu	748	But I have wonderful stories to tell you about a daughter of this prince.				tell	tell	tell you about a daughter of this prince	you
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	749	"This young lady was in Tartar named Aigiarm, which means in our language ""brilliant moonù."""	Great Turkey	Aigiarm		was,named	was,named	was in Tartar,named Aigiarm , which means in our language `` brilliant moon	Tartar,Aigiarm , which means in our language `` brilliant moon
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	750	She such strength that none of the youths or nobles in the whole kingdom could vanquish her, but were all beaten.				vanquish,were,beaten	vanquish,were,beaten	vanquish her,were all beaten	her,all beaten
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	751	Her father wished to marry her to a baron; 				wished,marry	wished,marry	wished to marry her to a baron,marry her to a baron	a baron,her
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	752	but she refused ever to unite herself to any one who could not vanquish her in fair combat; 				refused,unite,vanquish	refused,unite,vanquish	refused ever to unite herself to any one who could not vanquish her in fair combat,unite herself to any one who could not vanquish her in fair combat,vanquish her in fair combat	herself,her
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	753	and the king granted her this privilege.				granted	granted	granted her this privilege	her
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	754	She rejoiced greatly, and published through various parts of the world, that if any gentle youth would come, try her in pitched battle, and gain the victory, she would accept him for her lord.				rejoiced,published,come,try,gain,accept	rejoiced,published,come,try,gain,accept	rejoiced greatly , and published through various parts of the world , that if any gentle youth would come , try her in pitched battle , and gain the victory , she would accept him for her lord,published through various parts of the world , that if any gentle youth would come , try her in pitched battle , and gain the victory , she would accept him for her lord,come , try her in pitched battle , and gain the victory,try her in pitched battle,gain the victory,accept him for her lord	various parts of the world,her,the victory,him
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	755	This news was spread wide through the surrounding countries, and I assure you many gentlemen came and made the trial, which was arranged in the following manner.				was,spread,came,made,was,arranged,following	was,spread,came,made,was,arranged,following	was spread wide through the surrounding countries,was arranged in the following manner,spread wide through the surrounding countries,came and made the trial , which was arranged in the following manner,was spread wide through the surrounding countries,was arranged in the following manner,arranged in the following manner	the following manner
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	756	The king, with many young nobles and ladies, assembled in the great hall of the palace, when the princess entered in a robe of cotton richly adorned, attended by youths similarly attired.				assembled,entered,adorned,attended,attired	assembled,entered,adorned,attended,attired	assembled in the great hall of the palace,entered in a robe of cotton,adorned,attended by youths similarly attired	the great hall of the palace,a robe of cotton,youths
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	757	The agreement was, that if the candidate prevailed and threw her to the ground, he should have her for his wife; 				was,prevailed,threw,have	was,prevailed,threw,have	was , that if the candidate prevailed and threw her to the ground , he should have her for his wife,prevailed and threw her to the ground,threw her to the ground,have her for his wife	her,her
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	758	but if victory declared on her side, he was to give her a hundred horses.				declared,was,give	declared,was,give	declared on her side,was to give her a hundred horses,give her a hundred horses	her side,her
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	759	Thus she had gained above ten thousand steeds, because she could find no youth or damosel that could overcome her ; 				had,gained,find,overcome	had,gained,find,overcome	had gained above ten thousand steeds , because she could find no youth or damosel,gained above ten thousand steeds , because she could find no youth or damosel,find no youth or damosel,overcome her	ten thousand steeds , because she could find no youth or damosel,no youth or damosel,her
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	760	nor was this wonderful, for she was large, tall, and wellformed in her limbs, indeed almost a giantess.				was,was	was,was	was this wonderful , for she was large , tall , and wellformed in her limbs , indeed almost a giantess,was this wonderful , for she was large , tall , and wellformed in her limbs , indeed almost a giantess	this wonderful , for she was large , tall , and wellformed in her limbs , indeed almost a giantess,this wonderful , for she was large , tall , and wellformed in her limbs , indeed almost a giantess
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	761	Now, about the year 1280, there came the son of a rich king, an extremely handsome young man, with a brilliant retinue and a thousand very fine horses.				came	came	came the son of a rich king , an extremely handsome young man , with a brilliant retinue and a thousand very fine horses	the son of a rich king , an extremely handsome young man , with a brilliant retinue and a thousand very fine horses
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	762	He addressed himself to Kaidu, who was very desirous of marrying him to his daughter.		Kaidu		addressed,was,marrying	addressed,was,marrying	addressed himself to Kaidu , who was very desirous of marrying him to his daughter,was very desirous of marrying him to his daughter,marrying him to his daughter	himself to Kaidu , who was very desirous of marrying him to his daughter,him
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	763	He therefore caused her to be privately dealt with, to allow herself to be conquered; 				caused,be,dealt,allow,be,conquered	caused,be,dealt,allow,be,conquered	be privately dealt with,be conquered,allow herself to be conquered,be privately dealt with,be conquered,conquered	herself
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	764	but she declared she would not do so for any thing in the world.				declared,do	declared,do	declared she would not do so for any thing in the world,do so for any thing in the world	she
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	765	One day then, the king and queen, with many nobles and ladies, assembled in the great hall;				assembled	assembled	assembled in the great hall	the great hall
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	766	the princess and prince then entered, and their handsome appearance struck all with wonder; 				entered,struck	entered,struck	entered,struck all with wonder	all with wonder
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	767	he was really so strong and powerful, that no one else could contend with him.				was,contend	was,contend	was really so strong and powerful , that no one else could contend with him,contend with him	him
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	768	When they were in the middle of the hall before this great assembly, the agreement was formally made, that the suitor, if vanquished, should lose his thousand horses.				were,was,made,vanquished,lose	were,was,made,vanquished,lose	were in the middle of the hall before this great assembly,was formally made , that the suitor , if vanquished , should lose his thousand horses,vanquished,lose his thousand horses	the middle of the hall before this great assembly,his thousand horses
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	769	But all the company, as well as the king and queen, expressed their wishes that he should be successful.				expressed,be	expressed,be	expressed their wishes that he should be successful,be successful	their wishes
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	770	The two then rushed together, and wrestled violently, dragging each other in different directions: but at last the lady prevailed, and threw him on the ground, to the great grief of all the spectators; 				rushed,wrestled,dragging,prevailed,threw	rushed,wrestled,dragging,prevailed,threw	wrestled violently , dragging each other in different directions : but at last the lady,dragging each other in different directions : but at last the lady,prevailed , and threw him on the ground , to the great grief of all the spectators,threw him on the ground	each other,him
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	771	he thus forfeited the thousand horses.				forfeited	forfeited	forfeited the thousand horses	the thousand horses
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	772	But I have to inform you, that Kaidu led this daughter to many battles, and in no encounter could any warrior withstand her.		Kaidu		inform,led,withstand	inform,led,withstand	inform you,led this daughter to many battles , and in no encounter could any warrior withstand her,withstand her	you,this daughter to many battles , and in no encounter could any warrior withstand her,her
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	773	On many orrasions, she rushed among the enemy, seized one of the chiefs, and dragged him over to her own army.				rushed,seized,dragged	rushed,seized,dragged	rushed among the enemy , seized one of the chiefs , and dragged him over to her own army,seized one of the chiefs,dragged him over to her own army	the enemy,one of the chiefs,him
3	PART 1	45	Exploits of a Tartar Princess, Daughter to Kaidu	774	I will now, however, proceed to a great battle fought between her father and Argon, the son of Abaga, lord of the East.		Argon,Abaga		proceed,fought	proceed,fought	proceed to a great battle,fought between her father and Argon , the son of Abaga ,	a great battle,her father and Argon , the son of Abaga ,
3	PART 1	46	Great Battle between Barak and Argon	775	Abaga ruled many provinces bordering on those of Kaidu, and it was where grows the tree called in the book of Alexander the Arbor Secco.	Great Turkey	Abaga,Kaidu,Alexander		ruled,bordering,was,called	ruled,bordering,was,called	ruled many provinces bordering on those of Kaidu,bordering on those of Kaidu,was where grows the tree called in the book of Alexander the Arbor Secco,called in the book of Alexander	many provinces bordering on those of Kaidu,those of Kaidu,the book of Alexander
3	PART 1	46	Great Battle between Barak and Argon	776	As that prince committed great ravages on his territory, he sent his son Argon, with a very large host of cavalry, into the country of the Arbor Secco, to the river of Gihon, where he took a station fitted to guard the country against the invader.		Argon	Gihon	committed,sent,took,fitted,guard	committed,sent,took,fitted,guard	committed great ravages on his territory,sent his son Argon , with a very large host of cavalry , into the country of the Arbor Secco , to the river of Gihon , where he took a station fitted to guard the country against the invader,took a station fitted to guard the country against the invader,fitted to guard the country against the invader,guard the country against the invader	his son Argon,a station,the invader,the country against the invader
3	PART 1	46	Great Battle between Barak and Argon	777	Kaidu, however, assembled a great body of horsemen, and gave the command to a brother named Barak, very brave and skilful, desiring him to oppose the enemy.		Kaidu,Barak		assembled,gave,named,brave,desiring,oppose	assembled,gave,named,brave,desiring,oppose	assembled a great body of horsemen , and gave the command to a brother named Barak , very brave and skilful , desiring him to oppose the enemy,gave the command to a brother named Barak , very brave and skilful , desiring him to oppose the enemy,named Barak , very brave and skilful , desiring him to oppose the enemy,desiring him to oppose the enemy,oppose the enemy	a great body of horsemen,the command to a brother named Barak , very brave and skilful , desiring him to oppose the enemy,Barak , very brave and skilful,him,the enemy
3	PART 1	46	Great Battle between Barak and Argon	778	Barak, with his troops, rode on till they came to the river, and were ten miles distant from Argon.		Barak,Argon		rode,came,were	rode,came,were	rode on till they came to the river , and were ten miles distant from Argon,came to the river , and were ten miles distant from Argon,were ten miles distant from Argon	the river,ten miles distant from Argon
3	PART 1	46	Great Battle between Barak and Argon	779	The latter, informed of the approach of his adversary, made diligent preparation ; 				informed,made	informed,made	informed of the approach of his adversary,made diligent preparation	the approach of his adversary,diligent preparation
3	PART 1	46	Great Battle between Barak and Argon	780	the two remained three days in their respective camps.				remained	remained	remained three days in their respective camps	three days in their respective camps
3	PART 1	46	Great Battle between Barak and Argon	781	When they were fully prepared, and the naccar began to sound, they no longer delayed, but rushed furiously against each other.				were,prepared,began,sound,delayed,rushed	were,prepared,began,sound,delayed,rushed	were fully prepared,began to sound,sound,rushed furiously against each other	sound
