	Unnamed: 0	chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	WordNet Travel	FrameNet Travel
327	327	1	PART 1	21	Of the City of Balk	328	On leaving Balk, you ride two days between north-east and east, and find no habitation, because the people have all fled to the fortresses in the mountains for fear of wicked men, who lay waste the land.			Balk	leaving,find,fled,lay	leaving,find,fled,lay	leaving	leaving
328	328	1	PART 1	21	Of the City of Balk	329	There is no want of water or game, and lions are also seen.				seen	seen	seen	
329	329	1	PART 1	21	Of the City of Balk	330	No food is to be procured, but travellers must carry it both for themselves and their horses.				be,procured,carry	be,procured,carry	carry	be
330	330	1	PART 1	22	Of the Castle of Taikan	331	When a man has rode these two days, he finds a castle called Taikan,where there is a great corn-market, and the country round is fine.	Taikan		Taikan	rode,called	rode,called	rode	rode
331	331	1	PART 1	22	Of the Castle of Taikan	332	The mountains towards the south are very high, and formed entirely of salt, which is the best in the world, and people come for it from a distance of thirty days' journey round.				formed	formed		
332	332	1	PART 1	22	Of the Castle of Taikan	333	It is so hard, that it can be broken only by great iron hammers ; 				be,broken	be,broken		be
333	333	1	PART 1	22	Of the Castle of Taikan	334	and there is enough to supply the whole human race till the end of time.				supply	supply		
334	334	1	PART 1	22	Of the Castle of Taikan	335	Departing from that city, you go three days north-east, through a fine country, well planted with grain and fruits.				Departing,planted	Departing,planted	Departing	
335	335	1	PART 1	22	Of the Castle of Taikan	336	The people, who are followers of Mohammed, are wicked and murderous.		Mohammed					[]
336	336	1	PART 1	22	Of the Castle of Taikan	337	They spend much time in the tavern, for they have abundance of good wine, well prepared.				prepared	prepared		
337	337	1	PART 1	22	Of the Castle of Taikan	338	They wear nothing on their heads but a cord ten palms long wrapt round it.							[]
338	338	1	PART 1	22	Of the Castle of Taikan	339	They are good hunters, and thus supply themselves with venison ; but have no clothing except the skins of animals.				supply	supply		
339	339	1	PART 1	23	Of the City of Scassem	340	When a man travels three days, he finds a city named Scassem, which is on the plain, while the others are on the mountains, and through it flows a considerable river.	Scassem		Scassem	named	named		
340	340	1	PART 1	23	Of the City of Scassem	341	There are here many porcupines, and when the hunters set their dogs upon them, the hogs collect together and push their spines against their assailants, and often hurt them severely.				push	push	push	
341	341	1	PART 1	23	Of the City of Scassem	342	This Scassem is a large province, and the shepherds dwell in caverns on the mountains, which are easily formed, being wholly of earth, and make large handsome habitations.			Scassem	formed,being,make	formed,being,make		being
342	342	1	PART 1	23	Of the City of Scassem	343	 When a man leaves this city, he travels three days without finding a house, or any thing to eat or drink, being obliged to carry provisions with him, and he then enters the district of Badascian.			Badascian	finding,eat,drink,being,obliged,carry	finding,eat,drink,being,obliged,carry	carry	being
343	343	1	PART 1	24	Of the Province of Badascian	344	Badascian is a large province, whose people adore Mohammed, and have a language of their own.	Badascian	Mohammed	Badascian				[]
344	344	1	PART 1	24	Of the Province of Badascian	345	It is governed by kings descended from Alexander and the daughter of Darius lord of Persia, and all these kings are called in Saracen Zulcarnem, which means in their language Alexander.		Alexander,Darius,Alexander	Persia	governed,descended,called	governed,descended,called	descended	descended
345	345	1	PART 1	24	Of the Province of Badascian	346	In this country occur the precious stones called balasiu, which are very beautiful and valuable.				called	called		
346	346	1	PART 1	24	Of the Province of Badascian	347	They are found in the rocks of a mountain called Lighinan, and are cut out of very deep caverns, as is done by those who work silver mines.			Lighinan	found,called,cut,done	found,called,cut,done	cut,done	
347	347	1	PART 1	24	Of the Province of Badascian	348	Know, too, that the king makes them be worked out for himself, and no other man may cut out balasiu on that mountain, on pain of death.				be,worked,cut	be,worked,cut	cut	be
348	348	1	PART 1	24	Of the Province of Badascian	349	His majesty sends them as presents to other princes and great lords, either as homage, or in token of friendship, and he likewise sells them for gold and silver.							[]
349	349	1	PART 1	24	Of the Province of Badascian	350	The prohibition is enforced that they may continue valuable ; 				enforced,continue	enforced,continue	continue	
350	350	1	PART 1	24	Of the Province of Badascian	351	for if all persons were allowed to dig for them, they would be quite depreciated.				were,allowed,dig,be,depreciated	were,allowed,dig,be,depreciated		were,be
351	351	1	PART 1	24	Of the Province of Badascian	352	You must likewise know, that in other mountains of the same country are found the stones of which ultramarine is made, and it is the finest and best in the world.				know,found,made	know,found,made		
352	352	1	PART 1	24	Of the Province of Badascian	353	There are also lofty hills containing veins yielding silver in abundance.				containing,yielding	containing,yielding		
353	353	1	PART 1	24	Of the Province of Badascian	354	The country is extremely cold, but it breeds very good horses, which run with great speed over these wild tracts without being shod with iron.				being,shod	being,shod		being
354	354	1	PART 1	24	Of the Province of Badascian	355	There are found also the falcons called sacri, which fly well and swiftly ; also those called lanier ; and there is abundant hunting of beasts and birds.				found,called,called	found,called,called		
355	355	1	PART 1	24	Of the Province of Badascian	356	Wheat and good barley are plentiful ; 							[]
356	356	1	PART 1	24	Of the Province of Badascian	357	they have no oil of olives, but make it from sesamum and nuts.							[]
357	357	1	PART 1	24	Of the Province of Badascian	358	This kingdom has many a narrow pass and strong post to secure it against the entrance of enemies, and the cities and castles are strongly built on high mountains.				secure,built	secure,built		
358	358	1	PART 1	24	Of the Province of Badascian	359	The people are good archers and hunters, and mostly clad in the skins of beasts, on account of the scarcity of cloth.				clad	clad		
359	359	1	PART 1	24	Of the Province of Badascian	360	The great ladies, however, wear from sixty to a hundred yards of bombasine wrapped round their body, in order that they may appear very fat, because the men delight in such a shape.				wear,wrapped,appear	wear,wrapped,appear		appear
360	360	1	PART 1	24	Of the Province of Badascian	361	On the summits of the mountains the air is so pure and salubrious that the inhabitants of the towns and lower valleys, when attacked by fever or other inflammatory complaints, immediately remove thither, and in three or four days recover their health.				attacked,remove,recover	attacked,remove,recover		
361	361	1	PART 1	24	Of the Province of Badascian	362	Marco Polo affirms, that he himself experienced its excellent effects ; 		Marco Polo		experienced	experienced		
362	362	1	PART 1	24	Of the Province of Badascian	363	for after being confined nearly a year by sickness, he was advised to try change of air by ascending the hills, and he then immediately regained his strength.				being,confined,was,advised,try,ascending,regained	being,confined,was,advised,try,ascending,regained	ascending	being,was,ascending
363	363	1	PART 1	25	Of the Province of Pascia	364	You are to know that ten days south from Badascian is a province called Pascia.	Pascia		Pascia	know,called	know,called		
364	364	1	PART 1	25	Of the Province of Pascia	365	The people have a peculiar language ; 							[]
365	365	1	PART 1	25	Of the Province of Pascia	366	they are worshippers of idols, and much skilled in enchantments and diabolical arts.							[]
366	366	1	PART 1	25	Of the Province of Pascia	367	The men wear ear-rings and buckles of gold and silver, with pearls and precious stones.							[]
367	367	1	PART 1	25	Of the Province of Pascia	368	They are a very artful and malicious people.							[]
368	368	1	PART 1	25	Of the Province of Pascia	369	The province is extremely hot, and the people live upon flesh and rice.							[]
369	369	1	PART 1	25	Of the Province of Pascia	370	Now let us leave it, and tell of another, which is distant from this seven days towards the south-east.				let,leave,tell	let,leave,tell	leave	leave
370	370	1	PART 1	26	Of the Province of Kesimur	371	Kesimur is inhabited by idolaters, who have a language of their own.	Kesimur		Kesimur	inhabited	inhabited		
371	371	1	PART 1	26	Of the Province of Kesimur	372	They have a wonderful knowledge of the enchantments of devils, making their images speak, and by sorcery changing the seasons, causing great darkness, and doing other wonders which could not be believed unless they were seen.				making,changing,causing,doing,be,believed,were,seen	making,changing,causing,doing,be,believed,were,seen	changing,doing,seen	be,were
372	372	1	PART 1	26	Of the Province of Kesimur	373	The idols of this province are the heads over all the others, and went down hence to the neighbouring countries.				went	went	went	went
373	373	1	PART 1	26	Of the Province of Kesimur	374	The people are meagre and of a brown complexion ; 							[]
374	374	1	PART 1	26	Of the Province of Kesimur	375	but the females are very beautiful.							[]
375	375	1	PART 1	26	Of the Province of Kesimur	376	They live on flesh and rice, and have a number of cities and castles.							[]
376	376	1	PART 1	26	Of the Province of Kesimur	377	They have woods and deserts, and passes so strong that they have little dread of an invader: their king rules with great justice.							[]
377	377	1	PART 1	26	Of the Province of Kesimur	378	In this country are hermits, who observe great abstinence in eating and drinking, and carefully abstain from all offences against their faith ; 							[]
378	378	1	PART 1	26	Of the Province of Kesimur	379	and this is done through veneration of their gods.				done	done	done	
379	379	1	PART 1	26	Of the Province of Kesimur	380	They have abbeys and monasteries, are held in much reverence by the people of the country, and live to a great age.				held,live	held,live		
380	380	1	PART 1	26	Of the Province of Kesimur	381	The coral brought from our land is sold more readily there than in any other nation.				brought,sold	brought,sold		
381	381	1	PART 1	26	Of the Province of Kesimur	382	From this place you may go to the sea of India, and if we went farther we should enter into that country ; 			sea of India	go,went,enter	go,went,enter	go,went	go,went,enter
382	382	1	PART 1	26	Of the Province of Kesimur	383	but being to return that way, we will then describe it in due order, and now go back to Badascian.			Badascian	being,return,describe,go	being,return,describe,go	return,go	being,go
383	383	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	384	When a man departs from Badascian, he goes twelve days between north-east and east, along a river which belongs to a brother of the lord of that land.	Vokhan, Pamier, Belor		Badascian				[]
384	384	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	385	There are many castles, and a good number of inhabitants, who are valiant and adore Mohammed.		Mohammed					[]
385	385	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	386	He then comes to a province named Vokhan, not very large, being only three days' journey in every direction.			Vokhan	named,being	named,being		being
386	386	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	387	The people are of the same description, and subject to the ruler of Badascian.			Badascian				[]
387	387	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	388	Wild beasts and birds of every kind for hunting are most abundant.							[]
388	388	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	389	Having left this place, and travelled three days, always over mountains, he ascends to a district which is said to be the highest in the world.				Having,left,travelled,said,be	Having,left,travelled,said,be	left,travelled	left,travelled,be
389	389	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	390	Here he finds a plain between two vast hills, through which flows a very fine river, issuing from a large lake ; 				issuing	issuing		
390	390	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	391	and it is the best pasturage in the world, for a lean animal becomes fat here in ten days.							[]
391	391	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	392	All kinds of wild animals abound ; 							[]
392	392	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	393	in particular, a species of sheep with horns of three, four, and even six palms long.							[]
393	393	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	394	These are formed by the shepherds into large spoons, out of which they eat ; and are even employed in enclosing the places where they keep their cattle.				formed,employed,enclosing	formed,employed,enclosing		
394	394	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	395	The hornsare heaped up in large quantities along the road, for the purpose of guiding travellers during winter, when it is covered with snow.				heaped,guiding,covered	heaped,guiding,covered		
395	395	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	396	While a man passes for twelve days along this high plain, which is called Pamier,he sees neither habitation nor verdure, but must carry all his provisions along with him.				called,carry	called,carry	carry	
396	396	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	397	No birds can live in this cold region; 				live	live		
397	397	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	398	and I can even state that the fire does not burn so clear nor with the same colour as in other places, nor does it cook victuals so well.				state,burn	state,burn		
398	398	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	399	Leaving this place, he has to go on forty days between north and north-east, and passes many rivers and deserts ; and in all this journey finds neither verdure nor habitation, but must carry all his provisions along with him.				Leaving,go,carry	Leaving,go,carry	Leaving,go,carry	go
399	399	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	400	This country is called Belor.			Belor	called	called		
400	400	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	401	The people live in very lofty mountains.							[]
401	401	1	PART 1	27	Of the Countries of Vokhan, Pamier, and Belor	402	They are idolaters, extremely savage, violent, and cruel, subsist by hunting, and dress themselves in the skins of beasts.							[]
402	402	1	PART 1	28	Of the Province of Cascar	403	Cascar was anciently a kingdom, but is now under the dominion of the great khan.	Cascar	Khan	Cascar	was	was		was
403	403	1	PART 1	28	Of the Province of Cascar	404	The people adore Mohammed, and have cities and castles; 		Mohammed					[]
404	404	1	PART 1	28	Of the Province of Cascar	405	they are situated between the north and east.				situated	situated		
405	405	1	PART 1	28	Of the Province of Cascar	406	They subsist by merchandise and manufactures, having also fine gardens, vineyards, and orchards, with a good supply of silk.				having	having		
406	406	1	PART 1	28	Of the Province of Cascar	407	The merchants, in carrying on their trade, go round the whole world ; 				carrying,go	carrying,go	carrying,go	go
407	407	1	PART 1	28	Of the Province of Cascar	408	but they are sordid and covetous, eating and drinking very poorly.							[]
408	408	1	PART 1	28	Of the Province of Cascar	409	Some Nestorian Christians reside here, observing their own customs and laws.				observing	observing		
409	409	1	PART 1	28	Of the Province of Cascar	410	The people have a language of their own ; 							[]
410	410	1	PART 1	28	Of the Province of Cascar	411	and the province extends five days' journey.							[]
411	411	1	PART 1	28	Of the Province of Cascar	412	Now let us leave it and speak of Samarcan.			Samarcan	let,leave,speak	let,leave,speak	leave	leave
412	412	1	PART 1	29	Of the City of Samarcan	413	Samarcan is a very great and noble city, lying to the south, inhabited by Christians and Saracens.	Samarcan		Samarcan	lying,inhabited	lying,inhabited		
413	413	1	PART 1	29	Of the City of Samarcan	414	The people are governed by a nephew of the great khan, who, however, is not his friend, but is in open hostility against him.		Khan		governed	governed		
414	414	1	PART 1	29	Of the City of Samarcan	415	I have to tell you a great wonder which happened in this city.				tell,happened	tell,happened		
415	415	1	PART 1	29	Of the City of Samarcan	416	You must know that not very long since, Ciagatai, brother to the great khan, became a Christian, and was lord of that and of many other countries.		Ciagatai,Khan		know,became,was	know,became,was		was
416	416	1	PART 1	29	Of the City of Samarcan	417	The believers of Samarcan rejoiced greatly at his conversion, and erected a large church in honour of it, bearing the name of St John the Baptist.			Samarcan	rejoiced,erected,bearing	rejoiced,erected,bearing		bearing
417	417	1	PART 1	29	Of the City of Samarcan	418	They took a large and fine stone belonging to the Saracens, and made it the base of a column, which rose in the middle of the edifice, and supported the whole roof.				took,belonging,made,rose,supported	took,belonging,made,rose,supported	rose	took,rose
418	418	1	PART 1	29	Of the City of Samarcan	419	Now it came to pass that Ciagatai died, whereupon the Mohammedans, having been much enraged at this stone being taken for the use of the church, consulted with each other how to recover it by force.		Ciagatai		came,pass,died,whereupon,having,been,being,taken,consulted,recover	came,pass,died,whereupon,having,been,being,taken,consulted,recover	came,pass	came,pass,been,being,taken
419	419	1	PART 1	29	Of the City of Samarcan	420	This they could now easily do, being ten to one of their adversaries. 				do,being	do,being	do	being
420	420	1	PART 1	29	Of the City of Samarcan	421	Several of their elders went and told the Christians that they wished to receive back the slab, which had been formerly theirs.				went,told,wished,receive,had,been	went,told,wished,receive,had,been	went	went,been
421	421	1	PART 1	29	Of the City of Samarcan	422	The latter answered, that they would willingly restore it, but for the injury it would do to their building, and offered to pay a fair price for it.				answered,restore,do,offered,pay	answered,restore,do,offered,pay	do	
422	422	1	PART 1	29	Of the City of Samarcan	423	The others replied, that they wished neither gold nor treasure, but must have their stone.				replied,wished,have	replied,wished,have		
423	423	1	PART 1	29	Of the City of Samarcan	424	The government now belonged to the nephew of the great khan, who commanded that within two days it should be restored.		Khan		belonged,commanded,be,restored	belonged,commanded,be,restored		be
424	424	1	PART 1	29	Of the City of Samarcan	425	When the Christians received that order, they were much grieved, and knew not what to do.				received,were,grieved,knew,do	received,were,grieved,knew,do	do	were
425	425	1	PART 1	29	Of the City of Samarcan	426	They went, however, and with many tears implored John the Baptist to relieve them in this tribulation.				went,implored,relieve	went,implored,relieve	went	went
426	426	1	PART 1	29	Of the City of Samarcan	427	On the morning of the day when the stone was to be returned, the pillar, by the power of our Lord, rose up at least three palms, and supported itself as well as when the stone was beneath it, and has continued to do so till this day.				was,be,returned,rose,supported,was,continued,do	was,be,returned,rose,supported,was,continued,do	returned,rose,continued,do	was,be,rose,was
427	427	1	PART 1	29	Of the City of Samarcan	428	This was and still is accounted one of the greatest miracles that ever happened in the world.				was,accounted,happened	was,accounted,happened		was
428	428	1	PART 1	29	Of the City of Samarcan	429	Now let me tell you of a province which is called Yarcan.			Yarcan	let,tell,called	let,tell,called		
429	429	1	PART 1	30	Of the Province of Yarcan	430	Yarcan is a province five days' journey in length.	Yarcan		Yarcan				[]
430	430	1	PART 1	30	Of the Province of Yarcan	431	The people obey the law of Mohammed, but there are some Nestorian Christians; 		Mohammed					[]
431	431	1	PART 1	30	Of the Province of Yarcan	432	they are subject to the nephew of the khan mentioned above.		Khan		mentioned	mentioned		
432	432	1	PART 1	30	Of the Province of Yarcan	433	All necessaries are in great abundance.							[]
433	433	1	PART 1	30	Of the Province of Yarcan	434	Cotton is also grown, and the inhabitants are skilful artisans.				grown	grown		
434	434	1	PART 1	30	Of the Province of Yarcan	435	They suffer severely by swellings in the legs and in the throat, occasioned by the bad quality of the water.				occasioned	occasioned		
435	435	1	PART 1	30	Of the Province of Yarcan	436	Finding nothing else worth mentioning, I shall go on to Cotan.			Cotan	Finding,mentioning,go	Finding,mentioning,go	go	go
436	436	1	PART 1	31	Of the great Province of Cotan	437	Cotan is a province between north-east and east, and is eight days' journey in length.	Cotan		Cotan				[]
437	437	1	PART 1	31	Of the great Province of Cotan	438	The people adore Mohammed ; 		Mohammed					[]
438	438	1	PART 1	31	Of the great Province of Cotan	439	they have a number of cities and castles.							[]
439	439	1	PART 1	31	Of the great Province of Cotan	440	The capital is a noble town, called by the name of the kingdom.				called	called		
440	440	1	PART 1	31	Of the great Province of Cotan	441	They have all things in abundance, a large supply of silk, with vineyards and good orchards.							[]
441	441	1	PART 1	31	Of the great Province of Cotan	442	They carry on merchandise and manufactures, but are not men at arms.							[]
442	442	1	PART 1	32	Of the Province of Pein	443	Pein is a province five days' journey in length, between north-east and east.	Pein		Pein				[]
443	443	1	PART 1	32	Of the Province of Pein	444	The people adore Mohammed, are subject to the great khan, and have a number of towns and castles.		Mohammed,Khan					[]
444	444	1	PART 1	32	Of the Province of Pein	445	The noblest city and capital is called by the name of the kingdom.				called	called		
445	445	1	PART 1	32	Of the Province of Pein	446	Here is a river in which are found the stones named jasper and calcedony.				found,named	found,named		
446	446	1	PART 1	32	Of the Province of Pein	447	The people are very well supplied with necessaries, and grow a good deal of silk.				supplied,grow	supplied,grow		
447	447	1	PART 1	32	Of the Province of Pein	448	They live by merchandise and arts, and have a custom which I will now tell you.				tell	tell		
448	448	1	PART 1	32	Of the Province of Pein	449	When a woman has a husband who has gone a journey, and is to be absent above twenty days, as soon as he has departed she takes another partner, being fully allowed  by usage to do so; 				gone,be,departed,being,allowed,do	gone,be,departed,being,allowed,do	gone,departed,do	gone,be,departed,being
449	449	1	PART 1	32	Of the Province of Pein	450	while the husband, in the place where he goes, takes another wife.							[]
450	450	1	PART 1	32	Of the Province of Pein	451	Know that all the provinces now described from Cascar to the present, and still farther on, belong to Great Turkey.			Cascar,Great Turkey	described,belong	described,belong		
451	451	1	PART 1	32	Of the Province of Pein	452	Now let us tell of a province named Ciarcian.			Ciarcian	let,tell,named	let,tell,named		
452	452	1	PART 1	33	Of the Province of Ciarcian	453	Ciarcian is a province of Great Turkey, lying between north-east and east, with a capital city of the same name.	Ciarcian		Ciarcian,Great Turkey	lying	lying		
453	453	1	PART 1	33	Of the Province of Ciarcian	454	The people adore Mohammed, and have a good number of towns and castles.		Mohammed					[]
454	454	1	PART 1	33	Of the Province of Ciarcian	455	There is a river bringing jasper and calcedony, which, being of excellent quality, they take to sell in Cathay, and thus make great profit.			Cathay	bringing,being,sell	bringing,being,sell		being
455	455	1	PART 1	33	Of the Province of Ciarcian	456	This province is sandy, as well as the whole road from Cotan hither ; and much of the water is bad and bitter, but in various places it is good.			Cotan				[]
456	456	1	PART 1	33	Of the Province of Ciarcian	457	When an enemy passes through the country, they flee with their wives, children, and cattle, two or three days' journey through the sand to places abounding in fine water and pasturage ; 				abounding	abounding		
457	457	1	PART 1	33	Of the Province of Ciarcian	458	and no one can tell where they have gone, because the wind blowing the sand obliterates all traces of their march, and they thus escape the invader.				tell,gone,blowing	tell,gone,blowing	gone,blowing	gone,blowing
458	458	1	PART 1	33	Of the Province of Ciarcian	459	But when a friendly army passes through, they send away only the beasts, because the troops would take and eat them, without any payment.				take,eat	take,eat		take
459	459	1	PART 1	33	Of the Province of Ciarcian	460	After departing from Ciarcian, you go five days through the waste, finding the water bad and bitter, but occasionally sweet and good.			Ciarcian	departing,finding	departing,finding	departing	departing
460	460	1	PART 1	33	Of the Province of Ciarcian	461	At the end of these five days you come to a city which lies at the commencement of the great desert, wherein provisions are laid in for its passage, and therefore I must tell you about it.				laid,tell	laid,tell		
461	461	1	PART 1	34	Of the City and Desert of Lop	462	Lop is a large city at the entrance of the great desert bearing its name, and lying between the east and northeast.	Lop		Lop	bearing,lying	bearing,lying		bearing
462	462	1	PART 1	34	Of the City and Desert of Lop	463	It belongs to the khan, and the people adore Mohammed.		Khan,Mohammed					[]
463	463	1	PART 1	34	Of the City and Desert of Lop	464	You must know that those persons who wish to pass this tract rest in the city a week to refresh themselves and their cattle ; 				know,pass,refresh	know,pass,refresh	pass	pass
464	464	1	PART 1	34	Of the City and Desert of Lop	465	then, having taken a month's provisions and provender, they enter upon the desert, which I assure you is so extensive that if a man were to travel through its whole length, it would employ a year ; 				having,taken,were,travel,employ	having,taken,were,travel,employ	travel	taken,were,travel
465	465	1	PART 1	34	Of the City and Desert of Lop	466	and even at its smallest breadth, a month is requisite.							[]
466	466	1	PART 1	34	Of the City and Desert of Lop	467	It consists altogether of mountains and valleys of sand, and nothing is got to eat; 				got,eat	got,eat	got	
467	467	1	PART 1	34	Of the City and Desert of Lop	468	but after travelling a day and a night, you find sweet water sufficient for from fifty to a hundred men, with their animals.				travelling	travelling	travelling	travelling
468	468	1	PART 1	34	Of the City and Desert of Lop	469	A larger body could not be supplied.				be,supplied	be,supplied		be
469	469	1	PART 1	34	Of the City and Desert of Lop	470	Thus, water is seen daily, or altogether in about twenty-eight places, and except in three or four it is good.				seen	seen	seen	
470	470	1	PART 1	34	Of the City and Desert of Lop	471	Beasts or birds there are none, because they could not find food; 				find	find		
471	471	1	PART 1	34	Of the City and Desert of Lop	472	but there is a great wonder which I must now tell you.				tell	tell		
472	472	1	PART 1	34	Of the City and Desert of Lop	473	When a party rides by night through this desert, and any one lags behind, or straggles from his companions through sleep or any other cause, when he seeks to return to them, he hears spirits speak to him in such a manner that they seem to be his comrades, and they frequently call him by name, and thus lead him out of his way so that he never regains it, and many persons are thus lost and perish.				return,be,lead,lost	return,be,lead,lost	return,lead	be
473	473	1	PART 1	34	Of the City and Desert of Lop	474	I must tell you, too, that even by day you hear these voices of spirits, and even tambours, and many other instruments sounding.				tell,sounding	tell,sounding		
474	474	1	PART 1	34	Of the City and Desert of Lop	475	They find it necessary, also, before going to rest at night, to fix an advanced signal, pointing out the course to be afterwards held ; 				going,rest,fix,pointing,be,held	going,rest,fix,pointing,be,held	going	going,rest,be
475	475	1	PART 1	34	Of the City and Desert of Lop	476	likewise to attach a bell to each of the animals, that they may be more easily kept from straggling.				attach,be,kept,straggling	attach,be,kept,straggling	straggling	be
476	476	1	PART 1	34	Of the City and Desert of Lop	477	In this manner, amid much danger and fear, this desert is passed.				passed	passed	passed	passed
477	477	1	PART 1	34	Of the City and Desert of Lop	478	Now we must tell you of the countries that lie on the other side.				tell	tell		
478	478	1	PART 1	35	Of the Province of Tangut and City of Sacchion	479	When you have rode thirty days through this desert, you find a city named Sacchion,which belongs to the khan.	Sacchion,Tangut	Khan	Sacchion	rode,named	rode,named	rode	rode
479	479	1	PART 1	35	Of the Province of Tangut and City of Sacchion	480	 The province is called Tangut,and the people are idolaters, mixed with some Nestorian Christians and Saracens.			Tangut	called,mixed	called,mixed		
480	480	1	PART 1	35	Of the Province of Tangut and City of Sacchion	481	The first have languages of their own ; 							[]
481	481	1	PART 1	35	Of the Province of Tangut and City of Sacchion	482	they subsist not by merchandise, but by the grain which they produce from the earth.							[]
482	482	1	PART 1	35	Of the Province of Tangut and City of Sacchion	483	They have many abbeys and monasteries, all full of idols of various shapes, to which they offer frequent sacrifices and homage.							[]
483	483	1	PART 1	35	Of the Province of Tangut and City of Sacchion	484	Every man who has children rears a sheep, and at a particular festival at the end of the year, leads them along with that animal into the presence of the god, to whom they all perform reverence.							[]
484	484	1	PART 1	35	Of the Province of Tangut and City of Sacchion	485	They cook the sheep and offer it very humbly before the idol, leaving it while they make their prayers for the safety of their children.				leaving	leaving	leaving	leaving
485	485	1	PART 1	35	Of the Province of Tangut and City of Sacchion	486	They then take the meat and carry it to the house, or wherever they please, send for their relations, and eat it with great joy and respect.				carry,eat	carry,eat	carry	
486	486	1	PART 1	35	Of the Province of Tangut and City of Sacchion	487	They afterwards collect the bones, and preserve them with much diligence.				preserve	preserve		
487	487	1	PART 1	35	Of the Province of Tangut and City of Sacchion	488	You must know likewise, that when any one of them dies, his body is burned, and after he is carried to the place for this last ceremony, they erect in the middle of the path a house of cane, covered with cloths of silk and gold.				know,burned,carried,covered	know,burned,carried,covered	carried	
488	488	1	PART 1	35	Of the Province of Tangut and City of Sacchion	489	When the dead man is laid before this ornamented house, they place before him wine and victuals, believing that he will be similarly honoured in the other world.				laid,believing,be,honoured	laid,believing,be,honoured		be
489	489	1	PART 1	35	Of the Province of Tangut and City of Sacchion	490	At the place of burning, too, they cut in paper, men, horses, camels, and coins of the size of bezarits, convinced that the deceased will possess all these things in the future state.				cut,convinced,deceased,possess	cut,convinced,deceased,possess	cut	
490	490	1	PART 1	35	Of the Province of Tangut and City of Sacchion	491	On this occasion, all the instruments in the land are sounded before the corpse.				sounded	sounded		
491	491	1	PART 1	35	Of the Province of Tangut and City of Sacchion	492	I must tell you, too, that after death the relations send for the astrologer, who is informed of the day, month, and year of his nativity, and then divines, by his diabolical art, the day on which the burning ought to take place.				tell,informed,take	tell,informed,take		take
492	492	1	PART 1	35	Of the Province of Tangut and City of Sacchion	493	If it should be a week, a month, or six months, they keep it all that time, and never burn it till the appointed day.				be,appointed	be,appointed		be
493	493	1	PART 1	35	Of the Province of Tangut and City of Sacchion	494	During this interval, they deposit it in a large box covered with cloth, and so preserved with crocus and other spices that no stench arises.				covered	covered		
494	494	1	PART 1	35	Of the Province of Tangut and City of Sacchion	495	Throughout this period, they place daily before the box meat and drink, and leave it there for some time, till they think he has eaten it.				leave,eaten	leave,eaten	leave	leave
495	495	1	PART 1	35	Of the Province of Tangut and City of Sacchion	496	These sorcerers, too, often tell the relations that the dead body must not be carried out by the main door, but by a private one, or even through a breach made in the wall.				be,carried,made	be,carried,made	carried	be
496	496	1	PART 1	35	Of the Province of Tangut and City of Sacchion	497	All the idolaters in the world proceed in this manner.				proceed	proceed	proceed	
497	497	1	PART 1	35	Of the Province of Tangut and City of Sacchion	498	Now I must go to another city which lies to the south, near the extremity of this desert.				go	go	go	go
498	498	1	PART 1	36	Of the City of Kamul	499	Kamul is a province, formerly a kingdom, containing cities and castles, with a capital of the same name.	Kamul		Kamul	containing	containing		
499	499	1	PART 1	36	Of the City of Kamul	500	It stands between two deserts, the great one already described, and a smaller one, extending three days' journey.				described,extending	described,extending		
500	500	1	PART 1	36	Of the City of Kamul	501	The people are all idolaters, and have a peculiar language ; 							[]
501	501	1	PART 1	36	Of the City of Kamul	502	they live by the fruits of the earth, having enough to eat, and also to sell to the passenger.				having,eat,sell	having,eat,sell		
502	502	1	PART 1	36	Of the City of Kamul	503	They are men of great gaiety, thinking of nothing but to sound musical instruments, to sing, dance, and delight their hearts. 				sound,sing,dance,delight	sound,sing,dance,delight		
